hypothesis_id,title,subtitle,card_path,providers,total_impact
H0310,H0310 — Total claims > 10x peer median for 99212 (Code 99212),"Top 20 flagged providers · 500 total · $2,005,539,566 estimated exposure",output/cards/hypotheses/H0310.png,500,2005539566.35
H0311,"H0311 — Total claims > 10x peer median for T1020 (Personal care services, per...)","Top 20 flagged providers · 158 total · $5,670,007,867 estimated exposure",output/cards/hypotheses/H0311.png,158,5670007867.36
H0312,H0312 — Total claims > 10x peer median for H2015 (Comprehensive community...),"Top 20 flagged providers · 466 total · $13,060,163,608 estimated exposure",output/cards/hypotheses/H0312.png,466,13060163607.67
H0313,H0313 — Total claims > 10x peer median for H2016 (Comprehensive community...),"Top 20 flagged providers · 360 total · $13,732,526,475 estimated exposure",output/cards/hypotheses/H0313.png,360,13732526474.889997
H0314,H0314 — Total claims > 10x peer median for 99203 (Code 99203),"Top 20 flagged providers · 500 total · $1,311,159,548 estimated exposure",output/cards/hypotheses/H0314.png,500,1311159548.0
H0315,H0315 — Total claims > 10x peer median for 99204 (Code 99204),"Top 20 flagged providers · 500 total · $1,108,784,874 estimated exposure",output/cards/hypotheses/H0315.png,500,1108784873.72
H0316,H0316 — Total claims > 10x peer median for 99202 (Code 99202),"Top 20 flagged providers · 500 total · $317,017,353 estimated exposure",output/cards/hypotheses/H0316.png,500,317017353.1500001
H0317,H0317 — Total claims > 10x peer median for 99211 (Code 99211),"Top 20 flagged providers · 500 total · $1,344,719,047 estimated exposure",output/cards/hypotheses/H0317.png,500,1344719046.65
H0318,H0318 — Total claims > 10x peer median for T2024 (Service assessment/plan of...),"Top 20 flagged providers · 82 total · $504,225,473 estimated exposure",output/cards/hypotheses/H0318.png,82,504225472.69000006
H0319,H0319 — Total claims > 10x peer median for 97110 (Code 97110),"Top 20 flagged providers · 500 total · $1,760,096,121 estimated exposure",output/cards/hypotheses/H0319.png,500,1760096121.4500005
H0320,H0320 — Total claims > 10x peer median for 97530 (Code 97530),"Top 20 flagged providers · 500 total · $2,507,799,503 estimated exposure",output/cards/hypotheses/H0320.png,500,2507799503.08
H0321,"H0321 — Claims per bene > 3x peer median for T1019 (Personal care services, per...)","Top 20 flagged providers · 10 total · $31,719,894 estimated exposure",output/cards/hypotheses/H0321.png,10,31719893.59
H0322,"H0322 — Claims per bene > 3x peer median for T1015 (Clinic visit/encounter, all-...)","Top 20 flagged providers · 305 total · $2,368,490,267 estimated exposure",output/cards/hypotheses/H0322.png,305,2368490266.89
H0323,H0323 — Claims per bene > 3x peer median for 99213 (Code 99213),"Top 20 flagged providers · 147 total · $30,023,692 estimated exposure",output/cards/hypotheses/H0323.png,147,30023692.46
H0324,H0324 — Claims per bene > 3x peer median for 99214 (Code 99214),"Top 20 flagged providers · 130 total · $38,103,295 estimated exposure",output/cards/hypotheses/H0324.png,130,38103295.46000001
H0325,H0325 — Claims per bene > 3x peer median for H0015 (Alcohol and/or drug services;...),"Top 20 flagged providers · 7 total · $48,432,181 estimated exposure",output/cards/hypotheses/H0325.png,7,48432180.92
H0326,H0326 — Claims per bene > 3x peer median for T2003 (Non-emergency transportation;...),"Top 20 flagged providers · 324 total · $492,139,682 estimated exposure",output/cards/hypotheses/H0326.png,324,492139681.74999994
H0327,"H0327 — Claims per bene > 3x peer median for T1005 (Respite care services, up to...)","Top 20 flagged providers · 2 total · $508,015 estimated exposure",output/cards/hypotheses/H0327.png,2,508014.66
