rank,type,title,score_total,score_impact,score_validation,score_novelty,hypothesis_id,method,num_findings,total_impact,providers,card_path,source_card_path
31,hypothesis,H0093 — total_beneficiaries exceeding Q3 + 3*outside typical range,0.8078,0.9181,0.4957,1.0000,H0093,iqr_outlier,999,167472308952,999,output/cards/merged/031_H0093.png,output/cards/hypotheses/H0093.png
32,hypothesis,H0100 — rare extreme extreme value analysis for Behavioral Health (paid per claim),0.8041,0.9213,0.8548,0.4348,H0100,gev_extreme,90111,175413302963,41239,output/cards/merged/032_H0100.png,output/cards/hypotheses/H0100.png
33,hypothesis,H0101 — rare extreme extreme value analysis for Behavioral Health (total_paid),0.8039,0.9210,0.8548,0.4348,H0101,gev_extreme,90110,174720689846,41238,output/cards/merged/033_H0101.png,output/cards/hypotheses/H0101.png
34,hypothesis,H0096 — num_codes exceeding Q3 + 3*outside typical range,0.7917,0.8861,0.4956,1.0000,H0096,iqr_outlier,997,105776479097,997,output/cards/merged/034_H0096.png,output/cards/hypotheses/H0096.png
35,hypothesis,H0114 — rare extreme extreme value analysis for Temp/Waiver (paid per claim),0.7552,0.8804,0.7601,0.4348,H0114,gev_extreme,27507,97483336236,39173,output/cards/merged/035_H0114.png,output/cards/hypotheses/H0114.png
36,hypothesis,H0115 — rare extreme extreme value analysis for Temp/Waiver (total_paid),0.7523,0.8773,0.7557,0.4348,H0115,gev_extreme,26017,93235932685,35577,output/cards/merged/036_H0115.png,output/cards/hypotheses/H0115.png
37,hypothesis,H0106 — rare extreme extreme value analysis for Lab (paid per claim),0.7382,0.8024,0.8335,0.4348,H0106,gev_extreme,69041,31757583414,78960,output/cards/merged/037_H0106.png,output/cards/hypotheses/H0106.png
38,hypothesis,H0256 — Change-point detection (cusum): post/pre > 1.0x (all),0.7349,0.9047,0.5071,0.6522,H0256,change_point,1152,138049031701,1152,output/cards/merged/038_H0256.png,output/cards/hypotheses/H0256.png
39,hypothesis,H0257 — Change-point detection (cusum): post/pre > 2.0x (all),0.7349,0.9047,0.5071,0.6522,H0257,change_point,1152,138049031701,1152,output/cards/merged/039_H0257.png,output/cards/hypotheses/H0257.png
40,hypothesis,H0258 — Change-point detection (cusum): post/pre > 5.0x (all),0.7349,0.9047,0.5071,0.6522,H0258,change_point,1152,138049031701,1152,output/cards/merged/040_H0258.png,output/cards/hypotheses/H0258.png
41,hypothesis,H0259 — Change-point detection (pelt): post/pre > 1.0x (all),0.7349,0.9047,0.5071,0.6522,H0259,change_point,1152,138049031701,1152,output/cards/merged/041_H0259.png,output/cards/hypotheses/H0259.png
42,hypothesis,H0260 — Change-point detection (pelt): post/pre > 2.0x (all),0.7349,0.9047,0.5071,0.6522,H0260,change_point,1152,138049031701,1152,output/cards/merged/042_H0260.png,output/cards/hypotheses/H0260.png
43,hypothesis,H0261 — Change-point detection (pelt): post/pre > 5.0x (all),0.7349,0.9047,0.5071,0.6522,H0261,change_point,1152,138049031701,1152,output/cards/merged/043_H0261.png,output/cards/hypotheses/H0261.png
44,hypothesis,H0262 — Change-point detection (cusum): post/pre > 1.0x (home_health),0.7349,0.9047,0.5071,0.6522,H0262,change_point,1152,138049031701,1152,output/cards/merged/044_H0262.png,output/cards/hypotheses/H0262.png
45,hypothesis,H0263 — Change-point detection (cusum): post/pre > 2.0x (home_health),0.7349,0.9047,0.5071,0.6522,H0263,change_point,1152,138049031701,1152,output/cards/merged/045_H0263.png,output/cards/hypotheses/H0263.png
46,hypothesis,H0264 — Change-point detection (pelt): post/pre > 1.0x (behavioral),0.7349,0.9047,0.5071,0.6522,H0264,change_point,1152,138049031701,1152,output/cards/merged/046_H0264.png,output/cards/hypotheses/H0264.png
47,hypothesis,H0265 — Change-point detection (cusum): post/pre > 1.0x (high_value),0.7349,0.9047,0.5071,0.6522,H0265,change_point,1152,138049031701,1152,output/cards/merged/047_H0265.png,output/cards/hypotheses/H0265.png
48,hypothesis,H0266 — Change-point detection (pelt): post/pre > 2.0x (high_value),0.7349,0.9047,0.5071,0.6522,H0266,change_point,1152,138049031701,1152,output/cards/merged/048_H0266.png,output/cards/hypotheses/H0266.png
49,hypothesis,H0267 — Change-point detection (cusum): post/pre > 1.0x (last_12_months),0.7349,0.9047,0.5071,0.6522,H0267,change_point,1152,138049031701,1152,output/cards/merged/049_H0267.png,output/cards/hypotheses/H0267.png
50,hypothesis,H0268 — Change-point detection (pelt): post/pre > 1.0x (last_12_months),0.7349,0.9047,0.5071,0.6522,H0268,change_point,1152,138049031701,1152,output/cards/merged/050_H0268.png,output/cards/hypotheses/H0268.png
51,hypothesis,H0269 — Change-point detection (variance_change): post/pre > 2.0x (all),0.7349,0.9047,0.5071,0.6522,H0269,change_point,1152,138049031701,1152,output/cards/merged/051_H0269.png,output/cards/hypotheses/H0269.png
52,hypothesis,H0270 — Change-point detection (variance_change): post/pre > 3.0x (all),0.7349,0.9047,0.5071,0.6522,H0270,change_point,1152,138049031701,1152,output/cards/merged/052_H0270.png,output/cards/hypotheses/H0270.png
53,hypothesis,H0107 — rare extreme extreme value analysis for Lab (total_paid),0.7329,0.7960,0.8263,0.4348,H0107,gev_extreme,63080,28996167582,72382,output/cards/merged/053_H0107.png,output/cards/hypotheses/H0107.png
54,hypothesis,"H0555 — > 90% revenue from one code, > $10,000,000 (any)",0.7280,0.8976,0.4958,0.6522,H0555,single_code,1000,124809694806,1000,output/cards/merged/054_H0555.png,output/cards/hypotheses/H0555.png
55,hypothesis,"H0554 — > 90% revenue from one code, > $1,000,000 (therapy)",0.7280,0.8976,0.4958,0.6522,H0554,single_code,1000,124809694806,1000,output/cards/merged/055_H0554.png,output/cards/hypotheses/H0554.png
56,hypothesis,"H0553 — > 90% revenue from one code, > $1,000,000 (pharmacy)",0.7280,0.8976,0.4958,0.6522,H0553,single_code,1000,124809694806,1000,output/cards/merged/056_H0553.png,output/cards/hypotheses/H0553.png
57,hypothesis,"H0552 — > 95% revenue from one code, > $500,000 (individual_npi)",0.7280,0.8976,0.4958,0.6522,H0552,single_code,1000,124809694806,1000,output/cards/merged/057_H0552.png,output/cards/hypotheses/H0552.png
58,hypothesis,"H0551 — > 90% revenue from one code, > $500,000 (individual_npi)",0.7280,0.8976,0.4958,0.6522,H0551,single_code,1000,124809694806,1000,output/cards/merged/058_H0551.png,output/cards/hypotheses/H0551.png
59,hypothesis,"H0550 — > 90% revenue from one code, > $1,000,000 (transport)",0.7280,0.8976,0.4958,0.6522,H0550,single_code,1000,124809694806,1000,output/cards/merged/059_H0550.png,output/cards/hypotheses/H0550.png
60,hypothesis,"H0549 — > 90% revenue from one code, > $1,000,000 (dme)",0.7280,0.8976,0.4958,0.6522,H0549,single_code,1000,124809694806,1000,output/cards/merged/060_H0549.png,output/cards/hypotheses/H0549.png
61,hypothesis,"H0548 — > 90% revenue from one code, > $1,000,000 (personal_care)",0.7280,0.8976,0.4958,0.6522,H0548,single_code,1000,124809694806,1000,output/cards/merged/061_H0548.png,output/cards/hypotheses/H0548.png
62,hypothesis,"H0547 — > 90% revenue from one code, > $1,000,000 (behavioral)",0.7280,0.8976,0.4958,0.6522,H0547,single_code,1000,124809694806,1000,output/cards/merged/062_H0547.png,output/cards/hypotheses/H0547.png
63,hypothesis,"H0546 — > 90% revenue from one code, > $1,000,000 (home_health)",0.7280,0.8976,0.4958,0.6522,H0546,single_code,1000,124809694806,1000,output/cards/merged/063_H0546.png,output/cards/hypotheses/H0546.png
64,hypothesis,"H0545 — > 95% revenue from one code, > $5,000,000 (all)",0.7280,0.8976,0.4958,0.6522,H0545,single_code,1000,124809694806,1000,output/cards/merged/064_H0545.png,output/cards/hypotheses/H0545.png
65,hypothesis,"H0544 — > 90% revenue from one code, > $5,000,000 (all)",0.7280,0.8976,0.4958,0.6522,H0544,single_code,1000,124809694806,1000,output/cards/merged/065_H0544.png,output/cards/hypotheses/H0544.png
66,hypothesis,"H0543 — > 99% revenue from one code, > $1,000,000 (all)",0.7280,0.8976,0.4958,0.6522,H0543,single_code,1000,124809694806,1000,output/cards/merged/066_H0543.png,output/cards/hypotheses/H0543.png
