rank,npi,name,state,total_impact,confidence,num_methods,primary_method,actionable_notes
227,1457788275,"IDEAL OPTION, PLLC",WA,143418582.64,high,3,iqr_outlier,High confidence; 3+ independent signals
228,1528126133,"ADELANTE HEALTHCARE, INC.",AZ,143132383.02,high,5,gev_extreme_value,High confidence; 3+ independent signals; Network or middleman billing pattern
229,1285826438,NEW YORK UNIVERSITY,FL,142920832.84,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
230,1639711294,UOFL HEALTH-LOUISVILLE INC,KY,142892748.94,high,5,iqr_outlier,High confidence; 3+ independent signals
231,1972662328,"COMMUNITY CROSSROADS, INC.",NH,142136028.45,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
232,1851333686,"DANA-FARBER CANCER INSTITUTE, INC.",MA,141982120.08,high,9,pharmacy_rate_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
233,1326288556,"HELPERS, LLC",KS,141755111.64,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
234,1104931625,"CHIMES METRO, INC.",DE,141572987.60,high,5,gev_extreme_value,High confidence; 3+ independent signals
235,1447261540,COUNTY OF RIVERSIDE,CA,141516953.50,high,7,dbscan,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
236,1427182286,NORTHERN HUMAN SERVICES,NH,141420568.15,high,4,gev_extreme_value,High confidence; 3+ independent signals
237,1730369760,HUMAN CARE SERVICES FOR FAMILIES AND CHILDREN INC,NY,140433779.04,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
238,1255360517,ROCHESTER GENERAL HOSPITAL,NY,139936058.44,high,8,upcoding,High confidence; 3+ independent signals; Network or middleman billing pattern; Implausible volume or upcoding signal; Sudden growth or stop pattern
239,1649301789,EASTER SEALS MIDWEST,MO,139363569.40,high,4,post_deactivation_billing,High confidence; 3+ independent signals; Billing after deactivation
240,1205962883,CREATIVE WORKS,ME,138832010.55,medium,2,iqr_outlier,Statistical outlier vs peers
241,1750358297,CITY OF HOPE NATIONAL MEDICAL CENTER,CA,138328767.67,high,7,pharmacy_rate_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
242,1871540237,VARIETY CHILDREN'S HOSPITAL,FL,136016412.01,high,9,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
243,1902863202,SUPER CARE INC,CA,135522312.74,high,3,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern
244,1003953803,HOME HEALTH CARE SERVICES OF NY,NY,134825029.43,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
245,1649363342,"AMERICARE, INC.",NY,134595371.82,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
246,1174610075,STATE OF OKLAHOMA DEPT. OF HUMAN SERVICES,OK,134543755.51,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
