state,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
CA,2021-05,1500768314.6300008,29526328,21123489,23862
CA,2020-01,1482107016.36,31940002,22529058,23994
NY,2020-05,1437690190.21,14616544,5632129,15933
CA,2020-09,1434842618.1499994,28518557,19884971,23182
CA,2022-05,1427929006.4099998,29558545,20954632,23751
CA,2021-01,1414619615.5600002,27287392,18869262,22803
CA,2020-12,1411453915.47,26996245,18507885,22391
CA,2019-04,1409555586.1300006,28085681,19874715,23434
CA,2021-02,1400531345.07,27373838,19182530,23163
CA,2019-03,1400090293.1800005,28343697,20235061,23526
CA,2019-05,1399944448.4699996,27858825,19555967,23338
CA,2022-06,1395233965.0899997,29279244,21063444,23697
CA,2020-07,1392260466.18,26956443,18639722,22175
CA,2018-10,1382471466.87,28863423,20380371,23719
CA,2018-01,1378628388.3600001,27816855,19655348,23938
CA,2019-01,1375322271.8899996,28316042,20167246,23615
CA,2020-08,1375288694.0400004,26871772,18698698,22580
CA,2020-02,1372852976.1899996,29246842,20803459,23544
CA,2022-07,1360223509.8399997,28432517,20571828,23506
CA,2020-11,1348136298.7200005,25979399,18252401,22711
CA,2019-10,1335160903.2600002,30042110,21052819,23469
CA,2018-08,1335150125.16,27639593,19810296,23325
CA,2018-03,1321141905.8700001,27050252,19279224,23887
NY,2020-04,1306452109.72,12537113,4208342,14380
CA,2018-05,1293530187.37,26842575,18892821,23268
NY,2019-09,1290110065.6100001,17080528,8279557,22029
CA,2019-07,1285415975.6,27185232,19112045,23031
CA,2019-08,1282097721.69,28497980,20156401,23403
CA,2018-04,1272003572.0699995,25785061,18269414,23099
CA,2020-06,1271017005.5200002,24965417,17146821,21601
CA,2019-02,1258818018.7300007,25669005,18272832,22957
CA,2019-06,1237573270.92,25189120,18022088,22743
CA,2019-12,1229175011.0600007,26095591,18239148,22158
CA,2018-07,1226842786.7199993,25095008,17965544,22233
CA,2018-02,1215186679.38,24634314,17534469,23105
CA,2018-11,1212863552.8699996,25193631,17939150,22758
CA,2019-09,1210162758.7600005,27151105,19108184,22971
TX,2023-10,1191251817.83,21292257,10500711,15966
CA,2018-09,1184832825.5899997,24709403,17539676,22590
CA,2020-03,1183410046.2899997,23489620,16269562,21523
CA,2018-06,1175223715.87,24537159,17586812,22596
TX,2022-08,1172471238.8999996,22282673,12139292,16808
CA,2019-11,1154298896.99,25718699,18142373,22374
TX,2023-05,1147757505.78,21783233,10948031,16559
TX,2023-09,1144579680.1,20011534,9988846,15842
TX,2023-08,1140483761.0899997,21822504,11612973,16649
TX,2022-10,1138278267.54,22825903,12145666,16716
TX,2024-01,1130664884.3199995,19698841,9435167,15158
TX,2023-11,1128740175.3199995,19562726,9639680,15326
CA,2018-12,1124602958.0600004,23128137,16388365,21924
TX,2022-03,1115983060.46,22393805,11502539,17013
NY,2019-08,1114336954.8500001,14690060,6790017,20788
TX,2024-04,1113800673.5800002,19546214,9260979,15102
TX,2022-11,1112532181.2099998,21630930,11460204,16397
CA,2024-11,1108968888.5900004,23214766,18073231,16436
TX,2023-01,1098694632.49,21765201,11273960,16475
TX,2022-05,1097443280.53,20422688,10060845,16334
TX,2022-09,1097271242.7499998,22001351,11609149,16549
TX,2024-02,1095397537.71,19643684,9400351,15274
TX,2024-05,1088042891.1900003,18336303,8480236,14492
TX,2023-03,1085105458.9500003,22094405,11931276,17016
TX,2024-03,1083330336.4299998,18696526,8838946,15122
CA,2020-05,1080229164.1100004,19793294,13044598,18694
TX,2023-12,1080054267.3600001,18102428,8730685,14762
TX,2023-04,1079554695.58,20808685,10510510,16368
NY,2019-07,1066494311.7000002,14085356,6372166,20545
TX,2022-06,1061787133.6,19039723,10185575,16017
NY,2019-05,1052662577.3499998,13656684,6364720,20755
TX,2022-12,1050557281.0499997,20209829,10440525,16110
TX,2022-04,1050112902.52,21068452,10457899,16432
TX,2024-08,1037099120.9699999,18061278,8738584,14476
TX,2023-06,1036871882.0999999,18848881,9829022,15956
TX,2022-07,1036604109.7500001,18343497,9680588,15714
NY,2019-03,1024603318.4500003,13103493,6252444,20041
TX,2024-10,1020671486.73,17232267,8576294,13455
TX,2022-01,1015896716.44,21418600,11074964,16362
TX,2023-07,1012167867.7299998,18222645,9459484,15623
NY,2019-01,1006637060.4000001,12853257,6233708,19515
TX,2021-08,1006324708.1400002,21330155,11530648,17042
CA,2020-04,996434783.5799998,16972388,10674104,16378
TX,2021-12,995444357.9399998,20553849,10352205,16510
TX,2021-10,992985127.5199996,21279435,10814867,16981
NY,2019-04,992858448.1099995,13119189,6299556,20352
TX,2021-09,989563090.2700001,21011536,11079366,16865
TX,2024-07,985136871.3199999,16446741,7659621,13806
NY,2019-06,981352823.2499995,12772256,5937323,19945
TX,2021-11,981296672.5499997,20637091,10423520,16717
TX,2023-02,979242597.2799997,19805153,10493702,16281
TX,2024-09,977118786.22,16814003,8093720,13737
TX,2021-03,944653174.5700003,21042005,10734763,16879
TX,2024-06,935095270.1699998,15450199,7240876,13788
TX,2021-04,918991528.2799999,20105745,10061825,16748
TX,2021-07,918879670.9499997,18874191,10004825,16250
NY,2019-02,918270872.6400001,11693363,5578764,18611
TX,2021-06,914831258.2099998,18798367,9875120,16227
TX,2022-02,895296051.3999999,18908824,9464860,16073
TX,2021-05,893141885.6200002,18739760,9110202,16230
TX,2024-11,853483835.1100001,13870251,6535340,12060
TX,2021-01,830286935.13,18008059,9012624,15829
TX,2020-12,818997528.07,17486684,8459386,15387
MA,2022-03,805952737.3500001,10704864,5745948,7544
NY,2018-10,795007332.5600001,11432069,5783667,19039
MA,2024-05,794308245.65,9957833,5107358,6473
MA,2024-08,793525396.69,9456946,4814595,6161
MA,2024-01,792143566.5800002,10000505,5222060,6468
OH,2024-01,791975729.0600002,14765459,8805374,8781
NY,2018-12,789595767.93,10364432,4800251,17079
MA,2024-07,788896964.5,9574536,4827210,6153
MA,2022-06,783703602.4499999,10227277,5305294,7203
MA,2024-03,783268159.5300002,9803314,5126245,6395
OH,2024-02,782164734.7700002,14583150,8603731,8794
MA,2022-05,775859219.4400003,10076481,5239877,7219
MA,2023-10,774477747.2999996,10248877,5426052,6589
NY,2018-11,773877821.46,10269014,4778394,17132
NY,2018-08,773586260.1900002,10832782,5351246,18113
MA,2024-09,769547370.73,9117530,4628584,6138
MA,2024-04,765317269.99,9667286,5062058,6416
MA,2023-08,763363454.0,10141974,5366227,6394
MA,2022-04,759964719.6800002,10020027,5212128,7116
NY,2018-05,756420358.63,10476961,5221459,18308
MA,2024-10,754917607.8600001,9146746,4660212,6315
MA,2023-12,753530698.8700001,9406985,4724603,6178
MA,2023-11,745753412.5799998,9645623,5058029,6424
MA,2022-01,745142207.3299998,9280943,4856699,6882
NY,2018-07,739575543.3200005,10151811,4880311,17396
MA,2021-12,738349544.74,9651374,5069831,6999
MA,2024-02,738028138.5200001,9328173,4926443,6260
MA,2024-06,737918046.62,9009238,4512628,6144
MA,2021-10,736098545.95,10406647,5331324,7352
MA,2021-08,736087958.7600002,9905301,5229169,6894
NJ,2024-05,735942544.8399999,11556875,7703383,7433
NJ,2023-03,733658172.1199999,13152434,8876505,7983
NY,2018-09,731184582.4300001,9966875,4877681,17176
MA,2023-09,728134663.8599998,9495631,4991040,6277
MA,2023-03,726293025.64,11522142,6001976,7742
NJ,2024-03,725197324.4099998,11508407,7731729,7491
MA,2021-07,723565238.7399999,9719351,5024762,6760
MA,2021-11,723555093.7300001,9722078,5153669,7085
MA,2021-09,723320715.8,10539321,5353133,7243
NY,2018-06,720273627.32,9891351,4817792,17509
NJ,2024-01,720125813.09,10902059,7184236,7500
NJ,2023-05,719579388.2700002,12423575,8421660,7840
TX,2021-02,719343146.02,15348693,7404474,15238
MA,2023-07,716667096.8899999,9385605,4831457,6129
MA,2021-03,715117257.3199999,10685218,5780233,7354
NY,2018-04,714914895.9100001,9971181,5057197,17857
NJ,2023-10,710084209.93,11251809,7467442,7821
TX,2020-11,708245686.8499999,14806650,6809287,14245
OH,2024-03,707437593.35,13333775,8172843,8500
NJ,2024-04,705410773.8000002,11360196,7669278,7392
MA,2020-01,696891853.55,10577688,5410216,7255
NY,2018-03,693803154.68,9779993,4994680,17714
NJ,2024-02,690854638.6199999,10886600,7186021,7450
NJ,2023-08,689917621.9899999,11267833,7559321,7508
AZ,2023-03,689161022.1700001,8691112,4917733,4772
