method_name,flagged_npis,holdout_npis,holdout_rate,baseline_holdout_rate,train_z_mean,holdout_z_mean,holdout_z_delta
provider_share_per_code,60,60,1.0,0.6544194926988209,3.7440133210970052,4.495981337701426,0.7519680166044211
upcoding,36,36,1.0,0.6544194926988209,0.10986190440929038,0.27901043258805636,0.16914852817876597
dbscan,30,30,1.0,0.6544194926988209,0.7524934952558135,0.6259431046584223,-0.12655039059739126
aba_concentration,20,20,1.0,0.6544194926988209,1.7315294378706745,1.4878853254786522,-0.24364411239202233
composite_multi_signal,20,20,1.0,0.6544194926988209,0.3553300395862717,0.35634784373676803,0.0010178041504963486
pharmacy_rate_outlier,20,20,1.0,0.6544194926988209,4.083447624122314,5.738590536731131,1.6551429126088166
bene_phantom_growth,20,20,1.0,0.6544194926988209,-0.332364304015759,-0.16186103018237533,0.17050327383338368
isolation_forest,18,18,1.0,0.6544194926988209,0.5256614528349917,0.5609252723344201,0.03526381949942847
pharmacy_single_drug,18,18,1.0,0.6544194926988209,7.020147470638324,8.861315884018031,1.841168413379708
composite_temporal_plus_statistical,15,15,1.0,0.6544194926988209,-0.10552554556106443,0.1638201244769191,0.26934567003798354
lof,15,15,1.0,0.6544194926988209,0.06359109665047438,0.24133725348208074,0.17774615683160636
low_entropy_billing,15,15,1.0,0.6544194926988209,1.310548056563394,1.1647493039300425,-0.1457987526333515
addiction_high_per_bene,10,10,1.0,0.6544194926988209,14.252511730228075,17.069915576387586,2.817403846159511
composite_network_plus_volume,9,9,1.0,0.6544194926988209,0.17675175896249576,0.08834295445207054,-0.08840880451042522
ensemble_agreement,4,4,1.0,0.6544194926988209,0.46821393846368875,0.13963655853892928,-0.32857737992475944
impossible_em_visits_day,3,3,1.0,0.6544194926988209,0.15602451496170358,0.18536046583106294,0.029335950869359362
impossible_aba_volume,2,2,1.0,0.6544194926988209,2.022156408697629,1.1378516613224252,-0.8843047473752037
duplicate_billing,1,1,1.0,0.6544194926988209,,,
state_level_share,1,1,1.0,0.6544194926988209,,,
impossible_provider_day_24h,1,1,1.0,0.6544194926988209,,,
change_point_cusum,1152,1146,0.9947916666666666,0.6544194926988209,0.5155314002734427,0.5200911799841469,0.004559779710704204
