hcpcs_code,claim_month,total_paid,total_claims,total_beneficiaries
99214,2023-05,507140587.29999983,8404157,7197289
T1015,2019-05,507074625.7899999,3828090,2635060
99213,2023-10,506806315.5700001,10591594,8993323
S5125,2023-05,505751225.9400002,6948784,298428
S5125,2023-08,502517628.46000004,6764736,287007
S5125,2022-08,502463823.61000025,6634818,281721
99213,2024-02,501590350.7299995,10558957,8736618
99213,2022-01,501585866.2500004,10852822,9070297
T1015,2020-08,500350529.30000013,3373134,2431951
S5125,2022-03,499114861.6300001,6579614,287545
T2016,2023-07,498594706.6700001,946055,54201
T1015,2018-10,497729701.6600002,3647805,2567413
T2016,2023-11,493587237.3400002,943749,54175
99213,2023-02,493166462.66000044,10711191,8978770
99214,2023-10,493038028.53999937,7714863,6690846
T2016,2023-08,492993089.4899998,963839,53301
99214,2024-04,492558252.43999976,7633510,6572108
99213,2023-11,491730813.88999987,10539208,8865674
S5125,2022-05,491361712.81999975,6661080,291287
99213,2022-09,489924227.7000002,10787496,9023662
T2016,2024-02,488295134.71999985,948471,54373
99213,2022-12,487684011.1800003,10542772,8920417
S5125,2023-07,487536685.1000001,6502963,283108
S5125,2024-11,487386742.95,5907693,262199
99213,2021-09,486925905.7699998,11097622,9243680
99214,2023-08,486462692.58999896,7870514,6767068
T2016,2023-09,486049022.72999996,922134,53508
S5125,2023-06,485932285.61,6519468,290497
S5125,2022-07,484335493.00000006,6341758,273406
T1015,2019-10,483042881.14,3646825,2516206
99214,2024-03,482757864.4199995,7407566,6385367
99213,2022-08,481956399.66999984,10695153,8932724
S5125,2023-01,479908129.17000026,6738805,291758
99213,2023-08,479562677.04,10703813,8975655
T1015,2020-06,479556400.4099999,3313193,2245525
99213,2022-05,479420454.86000025,10405102,8775772
T1015,2018-08,478708870.97999996,3535243,2508839
99214,2022-03,477818026.27999955,7894520,6690154
S5125,2022-12,477782794.07,6712877,294446
99213,2024-04,476919263.9899996,10187538,8503513
S5125,2022-06,476585464.96000016,6234254,279694
99213,2021-12,475752715.83000064,10434331,8778960
99213,2021-11,475063885.2399996,10640125,8932736
S5125,2022-04,474963309.44000006,6524177,291346
99214,2022-11,474278655.31000024,7554019,6549257
99214,2023-11,473589647.2799992,7443672,6448868
S5125,2022-10,472979245.3599998,6733853,293922
99213,2024-03,472785776.14999986,10050356,8386879
99214,2023-02,472481692.8199999,7449064,6436251
S5125,2023-04,472423159.7600002,6529277,295328
99213,2021-10,471886530.0000002,10423480,8844359
99214,2024-05,471516219.92999953,7319189,6333554
99213,2023-04,471278895.63000005,10519486,8866017
T1015,2022-07,468604935.66,3137871,2250248
S5125,2022-11,468083165.7500002,6644289,295116
T1015,2018-05,467865833.83000004,3410311,2474619
T1015,2019-02,467147461.3900001,3442871,2500457
99213,2023-09,464626308.77,10125407,8572427
T2016,2022-05,463570059.0699999,910414,55722
99213,2021-08,461963622.3900003,10699292,8894176
99213,2022-04,461582041.8000006,10306629,8630969
99213,2024-05,460110276.47999966,9819071,8225853
T1015,2018-01,459962166.6000001,3447849,2486875
99214,2022-10,458641981.3300001,7437156,6419145
S5125,2021-12,458631178.46999997,6679893,290888
S5125,2023-03,458127246.53999996,6207974,294349
99213,2023-12,454243242.1200001,9692230,8219187
99213,2020-01,453930903.22999996,10744730,8784425
T1015,2018-03,453568157.54999983,3405836,2470872
S5125,2022-09,450730511.00000006,6647780,292692
99214,2024-10,449861027.24000084,6861868,6032525
99214,2022-08,448599845.43999976,7438325,6353417
99214,2023-04,448332760.91999954,7385056,6411058
99214,2023-09,447069593.12999964,7114305,6186267
T2016,2022-06,446648851.77,873293,55513
99213,2022-06,445702070.02000016,9811735,8254069
T1015,2018-04,445466038.8400003,3273410,2399959
S5125,2021-11,445452098.13999987,6447895,289121
T1015,2019-12,445246989.7199997,3212606,2367909
T2016,2021-07,444497437.1799999,776904,53219
99213,2023-06,443344170.6800003,10045088,8478186
S5125,2022-01,442365666.48999995,6440206,289128
S5125,2021-10,441430662.59000003,6529070,288091
99214,2022-09,440147396.2899993,7258145,6226176
99214,2023-06,438700130.10999995,7353464,6368234
T1015,2018-11,438689300.7099999,3182774,2304592
S5125,2020-12,437040531.3800001,6614694,289001
S5125,2021-03,436875921.2600001,6584402,288153
99213,2021-03,435780874.64000064,10180022,8417277
T2016,2022-04,434953127.9899999,799883,51988
99214,2022-01,434945672.55000037,6661399,5728604
T2016,2020-05,434641182.9300002,738967,51888
T1015,2020-03,434275703.3000002,3026681,2266373
T2016,2021-01,433744943.88000005,791016,54017
T2016,2021-08,433642922.9000001,750879,51615
99214,2022-05,432062446.65999943,7062855,6075563
S5125,2021-07,430745481.94999987,6365584,274509
T2016,2021-03,429617288.33999985,772855,53746
T1015,2019-06,429611338.22999996,3150737,2239440
T1015,2019-08,428745723.71,3216106,2261560
S5125,2021-05,427830926.6,6440194,299372
99213,2021-04,427697380.2399998,9895795,8282844
S5125,2021-08,427546345.74999994,6345531,278009
99214,2023-12,427064842.62,6654822,5815509
S5125,2023-02,426597536.74999994,5915990,289369
S5125,2021-01,426452574.72999996,6461148,286949
T2016,2021-05,425358427.5500002,767650,52748
99214,2022-12,424855561.5799995,6795671,5912089
T1015,2018-02,423628434.8800002,3219125,2350539
T2016,2019-08,423186678.57999986,888400,57589
S5125,2021-09,422424488.1999998,6369167,285744
S5125,2021-04,421355612.04999995,6374589,290875
T2016,2022-03,421031001.5300002,714979,48186
T1015,2018-07,420674748.4799999,2957081,2181959
T2016,2020-08,420546794.9899999,742842,52241
S5125,2021-06,419782337.6700001,6226402,279506
99214,2022-04,419521999.50999975,6899280,5939278
T2016,2019-07,419487522.82,883927,57551
T1015,2019-07,418337706.58,3121537,2149838
T2016,2020-07,417370420.21000016,744769,51554
T2016,2020-12,417055957.02,760775,51018
99214,2024-08,416747678.5100001,6455567,5671860
T2016,2020-06,416705197.31000006,719442,51942
T2016,2020-10,416085221.2100001,758835,50485
T2016,2021-10,415759532.66999996,721982,47620
99213,2021-06,415601620.5099997,9721852,8124419
T2016,2022-01,415010523.54999995,716998,47739
T1015,2019-11,414438630.5700001,3077691,2218852
T1015,2019-09,414222484.1499998,3152824,2215898
99214,2022-06,414096791.53000003,6898164,5910455
99213,2022-02,412823480.19000036,9253433,7788030
99213,2024-10,412818088.2999992,8994205,7604240
99214,2020-01,412766441.9200001,6874971,5824637
T2016,2021-04,412637725.6,751576,53864
T2016,2019-05,411850490.66000015,874960,57500
T1015,2018-06,411476767.47,2887446,2174713
T2016,2020-03,410267672.62,747705,53846
T2016,2021-12,410260275.2800002,713077,48151
T2016,2021-06,409638910.58000004,751250,52519
T2016,2019-09,409601817.1799998,864718,57666
S5125,2022-02,409282968.24999976,5916309,285679
T1015,2018-12,408081358.74999994,2944079,2176829
T2016,2020-04,407836185.62999994,722775,51859
99214,2024-09,407665481.5300004,6199586,5502197
T1015,2018-09,407516059.24,3006830,2195188
T2016,2019-03,407311024.03,871594,57365
S5125,2020-11,407264445.6,6071733,287347
T2016,2019-10,404585591.6100001,826969,56443
T2016,2020-11,404222580.81,728153,50628
T2016,2019-01,402964985.03000003,861450,57431
99213,2021-07,402042375.2000004,9346901,7752439
99214,2024-07,401995344.86000085,6254575,5439197
T2016,2020-09,400558543.43,718498,50123
99214,2021-09,400485819.0099999,6711536,5767830
99214,2021-11,399789029.42000026,6620918,5707408
T2016,2018-10,399761431.53,861000,57313
T2016,2019-06,399198876.8900001,845054,57401
T1015,2020-05,398714283.15999985,2707591,1886588
T2016,2018-12,398122887.85,863598,57131
T2016,2021-09,397755050.56,718087,47720
99213,2021-05,397172057.2300004,9196951,7757632
T2016,2021-11,396389484.88000005,679314,47312
99213,2020-02,396234975.02999973,9640596,8017013
T2016,2019-04,395463001.45,848541,57873
T2016,2018-08,395207523.45,854574,56781
99214,2021-10,394795327.46999985,6512138,5654206
99214,2021-03,394599092.51,6681403,5712601
99214,2023-07,394429312.67999977,6399264,5570096
99213,2023-07,393830233.71,8717989,7399977
T2016,2018-07,393051707.2199999,862029,56849
99214,2021-08,391428953.90000015,6629503,5686229
T2016,2021-02,391126772.08000004,714656,53537
99214,2022-02,390167710.6399994,6245681,5400366
99213,2022-07,389808490.2499998,8435095,7172760
T2016,2019-12,388987618.1,747403,53180
99213,2024-09,388611003.01000005,8301060,7119682
T2016,2020-01,388124036.3200002,743306,53410
99214,2021-12,386874324.90999967,6327206,5460236
S5125,2021-02,386598210.9200001,5819472,284185
T2016,2018-09,385956117.1899998,835865,57441
99213,2019-10,384800291.2499998,9901400,8117662
99213,2024-08,384662587.91999924,8408551,7160551
T2016,2018-11,384206042.4899999,825943,57167
T2016,2023-05,384023952.7700001,907142,46491
99284,2023-03,382937564.23999995,3174342,2876257
T2016,2018-05,382889033.60999995,813538,55470
T2016,2018-03,382398153.15000004,815006,55321
99214,2024-06,379137298.05000025,5915561,5185538
T2016,2022-02,378579870.98000026,646368,47942
99284,2023-05,378498614.23999965,3144953,2839614
99213,2021-01,378025853.2899996,8725298,7219624
T1015,2020-04,377928471.52000004,2588154,1785343
T2016,2018-01,377715040.1400001,699384,54625
T2016,2019-11,377585873.77,735223,53729
H2016,2024-05,377366405.09,1132752,76302
T2016,2023-06,377112597.0000002,889386,46426
H2016,2024-03,376716803.15000004,1125101,75051
99213,2019-01,373954958.5499996,9012797,7467495
99214,2021-04,373948455.5500001,6340839,5481807
T2016,2023-03,373475126.2,860142,46228
99214,2021-06,373030320.5699998,6430706,5545978
H2016,2023-10,371706586.8600001,1145705,76136
T2016,2022-08,371138336.09999985,906733,47097
99284,2023-12,371071051.76,2959742,2721886
T2016,2018-04,371059329.6900001,796640,55034
T2016,2024-11,370610791.11,833276,42475
T2016,2022-07,370590916.68,897329,46594
H2016,2024-01,370398890.3499999,1109233,74011
T2016,2022-10,369941285.50999993,888771,46230
T2016,2023-04,369806224.92999995,865407,46172
T2016,2018-06,368996505.61999995,769911,55115
H2016,2024-09,366875384.46,1051561,75112
H2016,2024-08,366399160.71000004,1076414,75131
H2016,2024-10,365789031.44,1054551,71597
T2016,2020-02,365566332.46,688816,53085
T2016,2019-02,365067270.58,781134,57591
99213,2024-07,364460235.1099998,7896790,6683045
H2016,2024-04,364202678.99,1096908,75442
T2016,2023-01,363034086.91999996,883481,45930
H2016,2024-06,362573965.6900001,1051869,74300
H2016,2023-08,362533737.19,1072196,74703
99284,2023-04,362510442.8499999,3054018,2742104
H2016,2023-12,360930394.09000015,1108256,74959
99213,2024-06,359805212.85999924,7759335,6583579
H2016,2023-07,358357273.34000003,1029279,74350
H2016,2023-05,358104670.81999993,1045768,76889
99214,2022-07,356911479.9399997,5863698,5081230
99213,2018-01,356417132.0799995,9076055,7507869
H2016,2023-09,355646557.5699998,1065701,75624
T2016,2022-09,355548922.6399999,873721,46521
H2016,2023-11,355294503.48000014,1098927,75528
99213,2020-12,355049736.9299998,8698371,7149212
T2016,2022-12,354847434.62000006,858436,46263
99214,2021-07,354734882.1,6093813,5209868
99283,2022-11,354487014.16999984,3059487,2792074
99213,2020-10,353978152.2899998,8277177,6942910
99284,2023-01,353883405.51,2955142,2631312
T2016,2022-11,353803120.21,844229,46075
H2016,2024-02,353464546.47,1061986,74698
99213,2019-12,353169167.74999994,8828719,7320671
99284,2023-10,350543784.8499997,2790848,2536891
99213,2019-03,350081453.2800001,8817590,7412567
99284,2023-09,350045206.00000024,2777772,2517428
99213,2019-04,349543988.0899998,8831314,7372741
99284,2023-11,349332943.88000005,2760267,2525852
99284,2024-01,347848568.8699999,2678193,2429238
99214,2020-02,347629965.0699997,6014987,5186843
99214,2021-05,347498537.5900002,5910413,5143437
H2016,2024-07,347370706.4200002,1040131,74267
99213,2019-11,345620433.2199997,8598686,7169964
H2016,2024-11,344677777.47000015,954398,66913
99284,2022-11,343888808.82999957,2619338,2367326
99284,2023-08,343669059.0999998,2801002,2533297
T2016,2018-02,342241576.29,658530,54596
99284,2024-03,339994022.1099999,2638717,2405486
H2016,2023-06,339973671.29,987723,74487
99213,2021-02,338363362.0600001,7883683,6598989
99214,2024-11,338359381.72000027,4956516,4480085
99213,2020-11,337780965.67999995,8041717,6753149
99213,2019-05,336907421.6400001,8612771,7159808
99213,2019-02,335950438.99999964,8320421,7002358
99214,2019-01,335575558.13000005,5764784,4891132
T2016,2023-02,335276793.32000005,762478,45964
H2016,2023-04,334919611.77,965039,74172
99214,2021-01,334918832.22,5342443,4592117
99284,2023-02,334790883.8299997,2806607,2520519
99284,2024-02,333577114.07999974,2591862,2333700
99284,2023-06,333307713.4299999,2761096,2513609
99213,2020-09,332754781.6399997,8141254,6664091
99284,2023-07,329359555.55,2724308,2465373
99213,2020-03,329149137.76,8037167,6652328
H2016,2023-01,327964359.39,940726,70140
S5125,2020-10,326279252.0999999,4355275,229632
99284,2022-10,325837566.26999986,2468062,2220403
99284,2024-05,325214963.46999997,2520788,2322323
99214,2019-10,325124113.25000006,6084079,5168929
99284,2024-04,324194235.8100001,2515287,2291806
99213,2024-11,324176870.7599999,6821663,5901705
H2016,2022-12,323471789.9500002,931974,69747
99213,2018-10,323465333.80999994,8502896,7104330
H2016,2022-08,322403267.69999987,941770,67622
99213,2019-09,321493628.2299998,8508142,7071231
H2016,2022-10,319999604.6,953190,68894
99213,2018-02,319360349.9199997,8312507,7016317
H2016,2022-07,316292315.4000001,897009,66590
H2016,2022-05,315213006.21000004,938032,68171
99213,2018-03,315104085.21999973,8375586,7057058
99213,2020-07,314034496.9399999,7822009,6275534
99283,2022-10,313918839.86999995,2751104,2508644
99284,2022-12,312005654.5699999,2364913,2137920
H2016,2022-11,310790243.98999995,943814,69508
99213,2018-05,309770644.9099997,8272578,6952932
H2016,2023-03,309586044.3600001,909289,74249
H2016,2022-09,306798331.4100001,927840,68138
H2016,2022-06,305673659.7200001,897844,67309
99213,2020-08,305508287.81999964,7533958,6166180
99283,2022-12,304860152.3299998,2623409,2395755
99214,2019-04,303749475.65,5624534,4807427
99214,2021-02,303417105.75,4998337,4332983
99284,2022-05,303387361.21,2404863,2139121
99214,2019-03,302705845.93000007,5519801,4753599
99213,2019-08,301573627.5499997,8177602,6761960
99213,2018-04,300281920.92999977,8007087,6768882
H2016,2023-02,299361726.96000004,852984,70035
U0003,2022-01,299153764.06000006,5075838,3859624
99213,2020-06,297761761.32,7386223,5933207
99284,2022-09,297708938.32000005,2284154,2043068
H2015,2023-03,296981270.65000004,1630783,304414
99214,2020-10,295582879.58999974,5068124,4368044
99213,2018-11,295079058.4999998,7516802,6339516
99214,2019-12,294280660.63000005,5285975,4570569
H2015,2023-05,294212016.22999996,1627757,297250
T1015,2024-12,292446720.57,1468053,1216414
99214,2019-02,292302756.5899997,5239090,4506656
99214,2018-01,290886693.00000006,5389518,4536277
99214,2019-05,290837506.83,5463147,4666693
99213,2019-07,289861944.4599999,7587943,6297319
99284,2022-08,288640873.52,2223517,1988471
99213,2018-08,287203890.30999994,7761768,6514359
99214,2019-11,285872636.97999984,5193519,4491487
99283,2023-12,285061895.4000001,2002750,1836739
99284,2024-09,284777640.2699998,2181247,2054715
99214,2020-12,283314204.62999994,4901967,4194498
99283,2022-09,282350105.19,2495049,2267737
99283,2022-05,282141764.64999974,2556488,2324218
99284,2024-10,280474903.15999997,2127257,2010777
99214,2020-09,280441518.09000003,4892963,4159352
99284,2021-12,280315577.4699999,2200721,2012622
S5125,2020-08,279648902.96999997,3400249,188454
99213,2018-12,278196344.30999976,7063649,5991325
99284,2022-04,278118073.91999996,2196525,1948001
90837,2024-04,277768275.24,2212433,961596
99283,2023-05,277067461.37,2141383,1932365
99284,2022-03,277065728.76000005,2171890,1940631
99213,2019-06,276133162.4799996,7152484,6035705
H2015,2022-08,275374026.26,1571986,283402
99284,2022-06,274912653.6200002,2182511,1945068
99284,2022-07,274486318.9399998,2142258,1912007
S5125,2020-09,274446121.44000006,3403575,186523
99214,2019-09,273910059.9299996,5221768,4492196
99284,2024-08,273677386.59999985,2166336,2019144
90837,2024-01,273155993.7699999,2213352,938416
90837,2024-05,273030593.67999995,2153321,930321
99284,2021-08,272187482.98,2197601,2003752
S5125,2020-07,271579717.43,3154195,200621
99284,2024-06,271432649.3799999,2176205,2010604
H2015,2023-01,271172364.93,1498376,285972
99214,2020-11,270653921.1,4649053,4036130
99283,2023-03,269405313.9499999,1977164,1793981
99214,2020-03,269290954.67999977,4652891,3977941
H2015,2022-09,269080797.09,1519445,280063
H2015,2022-10,268023527.44000003,1527773,282717
H2015,2022-11,267269042.86000004,1481752,279224
99284,2024-07,267089598.71999973,2144908,1980169
H2015,2022-03,266197437.11999997,1631435,299017
99213,2018-09,265894252.46999982,7029623,5979092
90837,2024-02,265835968.41999993,2173182,945193
90837,2023-08,265677650.9999999,2262288,955404
90837,2023-10,265431227.5199998,2214690,955546
99283,2022-08,265360687.56999984,2359398,2143504
99214,2019-08,264316722.31999987,5148500,4381955
99284,2021-09,263943194.60000005,2079772,1904549
H2015,2023-04,262991228.28999996,1463856,287289
99214,2020-07,262321705.04000005,4568709,3841151
99283,2023-11,261444548.10999978,1876992,1717742
99283,2021-12,261430021.97,2420509,2241440
99214,2018-10,261204402.62000027,5201263,4447553
90837,2024-03,261066293.81000003,2106029,937791
99283,2023-10,260397483.1899999,1912502,1742481
99284,2022-01,259326386.39000005,1999727,1818377
99284,2021-10,258815575.03000003,2061133,1879214
99283,2023-04,258743464.77000004,1951738,1757944
99283,2023-01,258232691.65,1972817,1762990
H2015,2023-06,257958920.99000004,1498761,281228
99213,2018-06,257623310.58999977,6980174,5946662
99283,2023-09,257149037.8399999,1913234,1738103
99284,2021-07,257100159.89999992,2146608,1947686
H2015,2021-03,256371667.86999997,1725496,313483
99214,2020-08,256151788.43999997,4444339,3789562
H2015,2023-02,255514221.87000003,1403609,285705
99284,2021-11,255355815.69000012,2023941,1839835
99283,2024-01,254236924.25999984,1712916,1549362
99283,2022-06,254177957.61999986,2292838,2083780
99213,2018-07,254134406.62999988,6872122,5794025
H2015,2022-05,253788538.70999995,1515878,286196
99214,2019-07,253651376.46999994,4901101,4166324
90837,2023-11,253088892.93999976,2116181,931094
99214,2018-03,252063394.1800003,4992334,4300607
99214,2018-02,250393286.26000017,4819847,4158743
99283,2022-07,249074535.19000012,2219666,2011413
99214,2020-06,248777169.2199999,4346652,3669134
H2015,2022-06,247775326.10999998,1477895,276778
99283,2024-03,247692827.68000007,1692490,1538803
99283,2024-02,247231407.55999988,1684727,1514746
99283,2022-04,247140722.48000014,2255698,2041813
99214,2018-05,246540630.24000037,4976032,4275518
99283,2021-08,246398470.59000024,2429294,2247011
H2015,2022-12,244020957.38,1381742,272876
99283,2021-09,243002177.79,2309719,2140563
99213,2020-05,242930135.47999975,6025244,4837144
99283,2023-08,242361644.37999994,1836867,1659764
99284,2021-05,242311881.60000005,2023219,1851361
S5125,2020-05,241663828.69000003,2671106,140149
99214,2018-11,241569197.25000006,4617327,3976843
S5125,2019-10,241147702.21000004,2442541,153457
99283,2022-01,240481788.76999992,2210893,2036905
H2015,2021-04,240460630.16999996,1593159,304067
99284,2024-11,240346006.6799999,1754045,1673520
99214,2018-04,240337668.03000048,4802457,4155177
