billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1750504064,T2016,2018-01,MA,Case Management Agency,13604013.34,1067,12749.778200562325,7842.369786885246,23,4907.408413677079,5236204.7773934435,2.897481214779535
1750504064,T2016,2019-03,MA,Case Management Agency,14225301.81,1141,12467.39860648554,7898.75268292683,23,4568.64592355871,5212824.998780488,2.7584874187105366
1275849283,00003,2018-06,CA,Family Medicine,16329977.91,59120,276.21748832882275,188.22,72,87.99748832882275,5202411.510000002,0.37147953583345406
1518096411,T2016,2024-01,MA,Case Management Agency,13169553.61,850,15493.59248235294,9376.088397129188,23,6117.504085223753,5199878.47244019,2.0165495897319445
1750504064,T2016,2023-08,MA,Case Management Agency,12091532.59,759,15930.872977602108,9088.630461538462,23,6842.242516063647,5193262.069692308,3.531337133450843
1376263657,H0015,2023-04,AZ,Mental Health Center,9315166.94,4818,1933.4094935657947,857.1562302041419,34,1076.253263361653,5185388.2228764435,0.9791479395558054
1922733641,H0038,2022-11,AZ,Community/Behavioral Health,5399668.56,4695,1150.0891501597443,46.0130285896676,78,1104.0761215700768,5183637.39077151,1.015636295913371
1518096411,T2016,2020-12,MA,Case Management Agency,14820176.64,954,15534.77635220126,10109.157086247085,23,5425.619265954174,5176040.779720282,2.4446296017510627
1134260078,A0100,2022-05,MO,Secured Transport,5759699.16,199463,28.876027935005492,3.0132841391786216,46,25.86274379582687,5158660.465747015,0.7716333491369118
1750504064,T2016,2019-05,MA,Case Management Agency,14478751.05,1168,12396.190967465755,7988.96731707317,23,4407.223650392584,5147637.223658538,2.6430103983596602
1750504064,T2016,2018-05,MA,Case Management Agency,13751063.56,1120,12277.735321428572,7685.823223350254,23,4591.912098078318,5142941.549847716,2.8245639988409157
1275849283,00003,2018-07,CA,Family Medicine,16762115.09,60551,276.826395765553,192.1986956521739,63,84.62770011337909,5124291.869565218,0.304740128205511
1518096411,T2016,2021-03,MA,Case Management Agency,14664643.36,990,14812.771070707071,9641.817780612244,23,5170.953290094827,5119243.757193878,2.343195396319601
1023788031,T1016,2022-12,AZ,Community/Behavioral Health,5172426.3,1524,3393.9805118110235,36.8719734345351,281,3357.1085383764885,5116233.412485768,5.9779423271592265
