specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Supports Brokerage,2021-11,113074950.26000002,1207886,133107,88
Addiction Counselor,2023-09,113074314.24,1426806,481854,1452
Nursing Home,2021-01,113017887.39000002,1039627,370358,1018
Supports Brokerage,2022-01,112951015.89000002,1215775,133072,91
Hospice,2024-02,112919713.12,610313,89525,886
Ambulatory Surgical,2023-04,112809319.00000003,1287865,1108783,1429
Dentist,2018-08,112805141.26000002,3680739,2839403,7508
Emergency Medicine,2018-10,112783124.32000002,2541169,2263907,4073
Assisted Living Facility,2023-03,112741360.84,435371,56885,1550
Ambulatory Surgical,2023-09,112606520.02999999,1135891,976903,1336
Assisted Living Facility,2023-04,112563990.14999999,423688,55656,1547
Nursing Home,2019-11,112554854.4,1125578,459595,1390
Addiction Counselor,2023-02,112543061.34,1457856,502364,1468
Emergency Medicine,2018-02,112529837.63,2473757,2193073,4639
Adult Day Care,2018-05,112515281.18,1640015,171687,1030
Dentist,2021-01,112513851.06,3449958,2775987,7196
Nursing Facility,2022-04,112499651.63000003,1017930,82052,593
Clinic/Center,2020-02,112493632.41000001,2051721,1422471,2005
Adult Day Care,2019-02,112433652.64,1613495,173838,1156
Internal Medicine,2019-12,112419652.80000001,3664666,2880356,10112
Internal Medicine,2019-01,112397063.97000003,3609065,2838503,10422
Dentist,2019-04,112367932.04,3459790,2791632,7204
Adult Day Care,2018-07,112325572.19999999,1634459,170379,1043
Urgent Care,2023-01,112248457.98,2415584,2024052,1471
Emergency Medicine,2024-11,112245967.72999999,1763565,1650172,3438
Supports Brokerage,2021-12,112192467.32999998,1248259,133796,87
Emergency Medicine,2020-09,112012897.35999998,2305524,1984173,3604
Adult Day Care,2020-05,111987082.32,1631310,141185,952
Non-Emergency Transport,2023-11,111930808.19000001,2602770,456685,1428
Nursing Home,2020-09,111890518.32999998,1005105,369138,1150
Ambulance,2022-06,111890178.10999997,1381976,1084679,1893
Hospice,2023-10,111854072.55000001,630950,88777,836
Nursing Home,2019-10,111702172.68999997,1444327,672397,1564
Rehab Substance Use Disorder,2023-07,111687051.73000002,1169841,320214,786
Emergency Medicine,2018-08,111666289.52000001,2521340,2220688,4368
Ambulance,2024-09,111664665.94,1102020,886292,1732
Non-Emergency Transport,2023-05,111651919.33000001,2757363,477292,1428
Addiction Counselor,2023-06,111648332.73000002,1497218,493254,1479
Internal Medicine,2020-06,111593353.38,3428141,2610027,10048
Nursing Facility,2021-03,111588169.15999998,980460,78628,607
Adult Day Care,2018-11,111586939.87,1632093,171723,1056
Nursing Home,2020-11,111518477.23000002,989533,362002,1106
Nursing Facility,2020-12,111507586.38000001,956011,75427,579
Emergency Medicine,2018-04,111323331.97,2438164,2167713,4529
Nursing Home,2020-08,111285962.31000003,974448,351254,1107
Rehab Substance Use Disorder,2023-01,111281095.44000003,1270770,329026,792
Nursing Home,2020-07,111165560.81999996,930978,303757,949
Addiction Counselor,2024-10,111155642.32,1255519,452756,1338
Non-Emergency Transport,2023-09,111155145.23999998,2550298,452097,1443
Nursing Home,2020-02,111115117.62,1143481,459768,1266
Nursing Facility,2021-07,111005090.35000001,990410,80062,611
Urgent Care,2023-10,110998777.42,2254247,1970609,1522
Mental Health Counselor,2021-01,110774604.25999999,1291195,583393,3243
Dentist,2020-02,110746135.83999999,3493698,2817882,7205
Emergency Medicine,2018-07,110720082.76,2475783,2176700,4396
Adult Day Care,2018-12,110658090.50000001,1604769,169582,1133
Ambulatory Surgical,2023-11,110625953.66,1096367,948121,1315
Non-Emergency Transport,2023-06,110582588.05000001,2716372,472578,1452
Nursing Facility,2021-12,110503143.76,997864,80242,596
Mental Health Counselor,2020-12,110482298.33,1278805,559784,3069
Nursing Home,2020-05,110418067.24,842664,208252,753
Urgent Care,2023-05,110386066.70000002,2228742,1935611,1504
Rehab Substance Use Disorder,2023-06,110339039.56000002,1213650,334369,804
Dentist,2018-10,110311411.35000001,3479825,2732963,7306
Hospice,2023-08,110259963.75999999,642855,90340,823
Mental Health Counselor,2020-01,110097458.49000001,1305949,572635,2802
Ambulatory Surgical,2022-09,110033395.95999998,1370200,1187865,1360
Internal Medicine,2019-11,110024198.42,3663075,2920979,10112
Non-Emergency Transport,2023-12,109999549.49999999,2503670,437955,1395
Emergency Medicine,2018-09,109674501.38999997,2470093,2188034,4090
Specialist,2023-05,109653979.02999997,2271282,1694186,4019
Case Manager/Care Coordinator,2020-03,109471491.55999999,1670730,960578,579
Hospice,2023-11,109448091.5,608641,86393,824
Dental Clinic,2024-07,109363565.35,2417934,1855618,3028
Emergency Medicine,2020-03,109255672.87,2202474,1940213,4160
Ambulatory Surgical,2023-01,109172103.0,1339484,1148877,1384
Nursing Facility,2021-08,109101065.57000001,976490,80104,608
Mental Health Counselor,2021-02,109074212.67,1250195,563651,3273
Case Manager/Care Coordinator,2019-10,108919855.39999999,1856592,1116072,584
Dentist,2021-02,108897587.50999999,3397733,2725721,7261
Supports Brokerage,2021-10,108739639.09000003,1222143,136756,88
Nursing Facility,2021-10,108719008.83,987396,80066,618
Case Manager/Care Coordinator,2019-12,108695616.91000001,1749149,1027899,569
Nursing Home,2019-08,108635873.66,1292107,539841,1591
Ambulatory Surgical,2024-01,108520746.65999998,1061371,908600,1317
Ambulance,2021-12,108406949.04999998,1405813,1087214,1875
Nursing Facility,2021-11,108290370.15,967825,78979,599
Dentist,2019-01,108245315.73000005,3350125,2640093,7021
Nursing Home,2020-06,108157002.67000002,895602,266533,901
Dentist,2019-07,108138525.80000001,3402111,2714670,7093
Ambulance,2022-04,108103926.82,1367813,1059024,1835
Mental Health Counselor,2019-10,107957677.12999998,1332265,565899,2748
Non-Emergency Transport,2023-07,107910603.08000003,2577503,457893,1411
Rehab Substance Use Disorder,2024-11,107877092.28,907688,253800,734
Case Manager/Care Coordinator,2019-03,107865187.96999998,1343539,872092,573
Assisted Living Facility,2023-01,107826254.24999999,428838,54535,1516
Specialist,2023-08,107676246.25000001,2302316,1742600,3912
Nursing Facility,2021-06,107654768.30999999,965552,78115,606
Specialist,2023-01,107575872.49,2229924,1655574,3980
Addiction Counselor,2024-06,107520507.86,1232310,420532,1449
Addiction Counselor,2023-07,107494167.79999997,1424986,459322,1432
Supports Brokerage,2022-02,107468214.55,1149422,130652,91
Addiction Counselor,2024-07,107467674.82,1254721,424031,1400
Addiction Counselor,2023-12,107440120.51999997,1360056,455012,1400
Case Manager/Care Coordinator,2019-05,107409093.48000002,1375827,882473,573
Adult Day Care,2018-06,107396078.76,1567006,169135,1040
Dental Clinic,2023-06,107368101.97000003,2413411,1845073,2927
Nursing Facility,2021-01,107356440.36999999,935244,74750,583
Pediatrics,2020-05,107344107.57,3090398,2732795,6061
Ambulatory Surgical,2023-06,107290202.17000002,1221508,1057733,1449
Urgent Care,2024-03,107271390.94000001,2194763,1897373,1536
Emergency Medicine,2018-11,107212662.00999999,2395095,2123088,4061
Nursing Home,2019-07,107056078.09000003,1183467,435118,1383
Dentist,2019-03,107039975.27,3311313,2654761,7005
Nursing Facility,2021-05,107028165.05000001,938308,79075,597
Ambulance,2021-08,106966119.75,1404190,1084394,1911
Hospice,2024-09,106875452.2,604636,91388,874
Specialist,2022-03,106803130.64999998,2361724,1766414,4273
Addiction Counselor,2022-03,106671557.11000001,1635587,515396,1435
Rural Health,2023-03,106662067.80000001,2260435,1755814,2608
Urgent Care,2023-09,106630582.66,2239778,1938189,1511
Urgent Care,2022-09,106542399.94000003,2268283,1946527,1450
Hospice,2023-09,106496385.38999999,605965,87246,841
Case Manager/Care Coordinator,2020-05,106491737.6,1504612,792040,571
Mental Health Counselor,2020-09,106457296.16,1235203,535882,2806
Rural Health,2024-01,106449674.75999998,2122739,1648002,2642
Dentist,2020-10,106431382.26999997,3189010,2547417,6807
Clinic/Center,2020-07,106421483.78,1809699,1216425,1932
Ambulance,2022-01,106291274.05999997,1370649,1057486,1896
Case Manager/Care Coordinator,2019-04,106174665.3,1366327,887955,564
Mental Health Counselor,2020-11,106081180.14999998,1214242,548363,3028
Nursing Facility,2021-04,106001786.22,934904,79981,607
Clinic/Center,2019-01,105860895.02000001,1888017,1354734,1959
Ambulatory Surgical,2022-08,105756291.86,1335777,1159899,1436
Nursing Facility,2021-09,105713833.47,966585,79335,614
Ambulance,2021-10,105704874.08000001,1382066,1065163,1889
Nursing Home,2021-02,105649762.59999996,1070701,416699,1001
Emergency Medicine,2021-02,105635547.24,2157516,1892348,3685
Internal Medicine,2024-11,105580216.68000002,3312905,2711583,7579
Specialist,2022-08,105546732.90000002,2384707,1803170,4077
Emergency Medicine,2018-06,105503702.19,2355959,2090346,4308
Adult Day Care,2020-04,105387379.47,1476232,129963,923
Nursing Home,2018-01,105195303.63000003,1256093,449678,1501
Hospice,2023-07,105089944.63000001,614083,85994,796
Ambulance,2021-09,105050751.82000001,1383475,1065911,1903
Ambulatory Surgical,2024-02,105044897.99,1040388,890289,1310
Dental Clinic,2024-09,105022254.14999999,2229668,1747407,2933
Dentist,2019-05,104998623.67,3213464,2585380,6961
Urgent Care,2023-02,104982481.29,2221008,1879388,1480
Dentist,2018-03,104961138.91999997,3614590,2839029,7431
Substance Abuse Rehab,2022-01,104930892.97,583591,124389,688
Addiction Counselor,2022-11,104924507.63000001,1542886,507718,1413
Adult Day Care,2018-09,104876154.47,1534572,171515,1045
Clinic/Center,2020-08,104868455.32999998,1824276,1245748,1961
Adult Day Care,2018-03,104802568.64,1538770,165717,1007
Clinic/Center,2019-04,104757107.72999999,1866677,1329372,1976
Addiction Counselor,2022-10,104757021.42000002,1572601,509083,1433
Internal Medicine,2020-03,104688350.50000001,3208732,2490526,9772
Nursing Home,2019-05,104625439.20000003,1136123,418461,1480
Dentist,2020-12,104623627.20000005,3150432,2544426,6938
Addiction Counselor,2024-08,104606792.42,1240966,425302,1346
Rural Health,2024-02,104516861.53,2146765,1705329,2639
Supports Brokerage,2021-03,104501292.16,1210363,130730,85
Ambulance,2024-10,104500400.14,1055107,850486,1648
Supports Brokerage,2021-08,104497787.79999998,1172456,136309,87
Supports Brokerage,2021-07,104470674.63000001,1176623,130743,87
Ambulatory Surgical,2022-12,104377628.36000001,1289003,1124181,1254
Family Medicine,2020-05,104368166.1,2915865,2126919,9151
Case Manager/Care Coordinator,2019-01,104355712.41,1301518,828657,566
Clinic/Center,2019-03,104340455.80999999,1848134,1331890,1926
Nursing Home,2019-03,104327433.08000003,1209640,439185,1489
Adult Day Care,2018-04,104277956.79,1525980,165654,1015
Intellectual Disabilities ICF,2024-03,104189018.42000002,329816,33811,245
Substance Abuse Rehab,2022-02,104040188.83999999,565076,122719,678
Rural Health,2023-08,103988491.36,2271068,1797408,2588
Assisted Living Facility,2022-12,103935950.63999999,426467,53367,1483
Intellectual Disabilities ICF,2024-05,103904136.93,333063,33815,248
Nursing Facility,2020-11,103862130.07,890217,75150,582
Non-Emergency Transport,2023-03,103817789.73000002,2681695,463848,1392
Dental Clinic,2023-01,103807878.12000002,2382863,1826969,2839
Nursing Home,2019-01,103767662.28000002,1179739,432789,1509
Nursing Facility,2023-02,103750133.16,884176,78212,585
Rehab Substance Use Disorder,2023-02,103711285.17000002,1145372,316931,786
Addiction Counselor,2022-08,103589620.49999999,1566874,505782,1411
Nursing Home,2018-10,103480622.73,1432841,653071,1700
Ambulance,2021-11,103464039.98999995,1358795,1039099,1828
Clinic/Center,2019-12,103417600.14,1912009,1311800,1928
Nursing Home,2019-09,103397931.43,1165553,461943,1529
Nursing Facility,2022-01,103304606.57000001,929698,81102,588
Case Manager/Care Coordinator,2020-04,103301413.72000001,1434106,735904,562
Ambulance,2021-07,103243094.83,1377755,1049500,1886
Specialist,2024-01,103211374.44000001,2022381,1508613,3617
Hospice,2023-03,103206697.91000001,645539,89584,780
Mental Health Counselor,2020-07,103188702.34999998,1202472,497713,2650
Supports Brokerage,2021-09,103138796.70999998,1146597,134773,87
Non-Emergency Transport,2024-11,103087346.39000002,2396974,377040,1216
Nursing Home,2018-03,103035834.69000003,1254683,434114,1478
Clinic/Center,2019-05,103008345.36,1834453,1308372,1957
Addiction Counselor,2024-09,102924640.82,1222069,422370,1330
Intellectual Disabilities ICF,2024-10,102866595.32000002,310210,30598,243
Ambulatory Surgical,2023-12,102681443.84000002,1036038,901422,1215
Addiction Counselor,2022-12,102622507.20999998,1506989,485770,1385
Supports Brokerage,2021-06,102518934.24,1161751,130202,86
Nursing Home,2018-08,102506763.52000004,1333365,555088,1620
Adult Day Care,2018-01,102500740.96000001,1494397,165369,995
Hospice,2022-07,102428946.72000001,567984,81921,758
Nursing Home,2019-12,102423203.01999997,1036079,384910,1262
Urgent Care,2022-08,102392478.56000003,2168523,1877204,1431
Urgent Care,2022-05,102344390.99999999,2142589,1842318,1454
Nursing Home,2019-04,102255791.60999995,1165746,456818,1501
Clinic/Center,2019-11,102251846.99000001,1936212,1344235,1925
Urgent Care,2023-04,102194153.52000001,2070238,1793954,1489
Intellectual Disabilities ICF,2024-08,102166468.30999999,321774,32243,245
Ambulatory Surgical,2024-04,102149624.83999999,982295,845687,1371
Dental Clinic,2023-11,102075226.58000003,2298386,1765738,2869
Hospice,2022-08,101986055.38999997,586931,85213,764
Internal Medicine,2018-01,101919058.9,3499883,2694488,10859
Intellectual Disabilities ICF,2023-10,101884315.53000002,343053,33869,236
Specialist,2023-10,101795698.22,2178236,1657882,3767
Dentist,2018-05,101793608.56000003,3399575,2680157,7268
Mental Health Counselor,2020-02,101764654.43999997,1188198,529075,2790
Ambulatory Surgical,2024-03,101751554.61999999,992257,855218,1299
Assisted Living Facility,2022-10,101740016.55999999,421826,52611,1487
Rural Health,2023-01,101642165.6,2152689,1663505,2550
Rehab Substance Use Disorder,2022-08,101582581.36000001,1339637,322034,740
Ambulatory Surgical,2022-03,101561519.67,1327175,1147195,1441
Specialist,2023-06,101549640.62000002,2093133,1566849,3891
Supports Brokerage,2021-05,101398927.17,1174053,126945,87
Dentist,2018-04,101339368.94999997,3455445,2722137,7399
Ambulatory Surgical,2023-02,101266153.48999998,1219940,1049708,1375
Dental Clinic,2023-04,101248351.61,2313922,1756790,2810
Rehab Substance Use Disorder,2022-10,101237697.22999999,1312264,317251,755
Assisted Living Facility,2023-02,101081705.06,389375,54534,1527
Addiction Counselor,2022-09,101048007.36999997,1524189,499867,1400
Specialist,2022-10,100994269.72999997,2260848,1724378,3929
Specialist,2022-11,100928912.04000002,2181620,1660507,3866
Hospice,2022-10,100687510.72999999,574604,81307,754
Substance Abuse Rehab,2021-12,100671803.13999999,555100,119510,637
Mental Health Counselor,2020-08,100649036.25999996,1147853,494993,2733
Intellectual Disabilities ICF,2024-01,100639314.65,332467,33689,236
Mental Health Counselor,2019-05,100614085.97999997,1202284,502342,2617
Rural Health,2023-10,100580913.97,2072805,1664105,2611
Nursing Home,2018-05,100572772.45000002,1295639,404649,1423
Intellectual Disabilities ICF,2024-04,100571806.79000002,323267,33846,245
Ambulance,2021-06,100429537.68999998,1350771,1025438,1865
Dental Clinic,2024-06,100405478.14999998,2171772,1673088,2921
Addiction Counselor,2022-05,100330114.69999999,1519420,488537,1398
Dentist,2020-09,100281619.86999999,3143784,2538155,6642
Hospice,2023-05,99977944.61,636821,90167,812
Emergency Medicine,2020-06,99971072.71000001,1982797,1738448,3605
Mental Health Counselor,2020-06,99966840.18999998,1158531,481366,2599
Mental Health Counselor,2019-04,99936356.01,1216252,514923,2604
Assisted Living Facility,2022-08,99912398.76999997,431601,51863,1476
Internal Medicine,2019-03,99789674.26000002,3472901,2755883,10208
Hospice,2023-06,99786969.34000002,630916,90578,826
Specialist,2021-03,99771631.13999999,2169766,1660075,4491
Dentist,2018-01,99763600.23000002,3460785,2693367,7280
Non-Emergency Transport,2023-04,99698258.14999998,2481608,448744,1410
Intellectual Disabilities ICF,2024-07,99650016.96999998,312699,31553,239
Rural Health,2023-05,99571154.88000003,2124704,1651428,2582
Ambulance,2021-05,99500512.34000002,1325897,1017682,1871
Dental Clinic,2023-09,99457529.39999999,2242274,1731950,2811
Addiction Counselor,2022-06,99455303.26,1498070,485016,1385
Hospice,2022-05,99430203.43,571885,86980,767
Dentist,2019-09,99396793.34000002,3082726,2471986,6810
Intellectual Disabilities ICF,2024-06,99365824.24999999,308406,32636,249
Substance Abuse Rehab,2021-11,99340919.83999999,549198,119983,646
Voluntary/Non-Profit,2021-10,99326988.90000002,1043678,143779,238
Dentist,2020-08,99314309.07000001,3180406,2498573,6683
Clinic/Center,2018-10,99298421.26999997,1813840,1334450,1895
Intellectual Disabilities ICF,2024-09,99284464.64999999,308699,31680,244
Dental Clinic,2022-08,99243231.31000006,2332816,1821640,2788
Internal Medicine,2019-04,99236053.00999999,3458347,2721041,10248
Rehab Substance Use Disorder,2022-11,99224414.73,1265623,318689,753
Internal Medicine,2019-05,99176700.89,3429502,2687891,10368
Specialist,2021-08,99172793.51000002,2256108,1723434,4233
Supports Brokerage,2021-04,99170343.08999999,1122400,126790,86
Hospice,2022-12,99107737.64,579685,80611,755
Hospice,2021-10,99061981.10999997,554607,83254,765
Mental Health Counselor,2020-03,99017545.21,1155665,508237,2798
Nursing Home,2018-04,98936433.83000001,1231043,425674,1476
Nursing Facility,2022-02,98741600.97000001,888507,79097,596
Voluntary/Non-Profit,2021-11,98703694.97,1035012,143557,235
Intellectual Disabilities ICF,2023-08,98663915.18,335968,34041,234
Local Education Agency (LEA),2020-11,98639309.83,3627584,1063967,5164
Assisted Living Facility,2022-09,98602079.71,415446,52710,1505
Internal Medicine,2019-09,98580709.58000001,3511185,2799615,10184
Intellectual Disabilities ICF,2023-12,98550403.59,319190,31892,236
Hospice,2022-11,98492344.43,562470,81953,745
Urgent Care,2023-08,98439590.82,2044596,1775056,1495
Hospice,2021-08,98364966.79,548186,79973,753
Clinic/Center,2020-06,98249026.11000003,1672775,1107059,1911
Substance Abuse Rehab,2021-10,98207305.47000001,549828,121348,639
Hospice,2022-04,98204340.30999999,565955,85001,754
Case Manager/Care Coordinator,2019-08,98190989.15,1506324,946539,563
Hospice,2022-03,98177854.83,570149,90510,774
Case Manager/Care Coordinator,2019-06,98083820.09,1233509,778731,567
Hospice,2024-10,97987235.99000001,580088,83090,784
Addiction Counselor,2022-04,97973091.37,1482433,480712,1418
Specialist,2022-06,97955485.0,2139363,1602115,4037
Urgent Care,2024-04,97934119.01,1960700,1716554,1524
Hospice,2021-07,97896230.46000001,547793,81706,747
Nursing Home,2019-06,97895893.30999997,1039028,353962,1286
Rural Health,2022-01,97890231.10000001,1977705,1552938,2475
Hospice,2022-06,97856632.61000001,564426,84952,771
Nursing Home,2018-07,97842879.86000001,1128416,410899,1352
Case Manager/Care Coordinator,2019-07,97807866.52999997,1307359,815979,566
Voluntary/Non-Profit,2021-08,97804851.67000003,1114054,145857,241
Specialist,2022-09,97771148.74000001,2207539,1668692,3922
Mental Health Counselor,2019-03,97679790.77999999,1172865,503965,2562
Dentist,2018-07,97669030.52000001,3297267,2504512,6986
Dental Clinic,2022-03,97591830.96000005,2272667,1776446,2696
Intellectual Disabilities ICF,2023-07,97582323.99000001,330875,33696,239
Rural Health,2024-04,97582118.99000002,1942327,1551757,2619
Intellectual Disabilities ICF,2023-03,97558388.43999998,333954,36309,245
Case Manager/Care Coordinator,2019-11,97535876.20000002,1609652,950782,580
Ambulance,2021-03,97530800.6,1331594,1007521,1823
Supports Brokerage,2021-01,97520317.27000001,1150828,124280,85
Hospice,2022-09,97518356.5,661299,100639,864
Ambulatory Surgical,2024-05,97517670.74999999,925333,791846,1360
Specialist,2022-05,97421948.21,2134557,1590370,4054
Hospice,2021-12,97419335.22,559353,82029,744
Clinic/Center,2019-09,97352150.04,1898017,1346531,1935
Specialist,2020-01,97349131.33000001,2097217,1560849,4310
Rural Health,2023-11,97319942.81,2100703,1676992,2599
Intellectual Disabilities ICF,2023-11,97237122.41,318279,33209,241
Dentist,2019-11,97225533.14,3034767,2446045,6724
Rehab Substance Use Disorder,2022-03,97209875.44999999,1369730,333001,741
Dental Clinic,2023-02,97206869.01999998,2251612,1750694,2811
Ambulatory Surgical,2022-05,97166546.23000002,1253674,1088376,1361
Specialist,2022-01,97020694.6,2064132,1572656,4006
Intellectual Disabilities ICF,2024-02,97001178.57000002,321283,34030,238
Specialist,2021-06,96999826.03,2068779,1574712,4351
Ambulance,2021-04,96869153.0,1320853,1010409,1809
Specialist,2021-10,96807967.95,2197769,1681769,4154
Dentist,2019-02,96715562.51999998,2995264,2388523,6804
Intellectual Disabilities ICF,2023-09,96677074.86000001,318354,33444,237
Rehab Substance Use Disorder,2022-09,96594336.36000001,1252025,313565,749
Nursing Facility,2021-02,96564108.28999999,845692,73849,583
Specialist,2024-02,96560197.39,1937987,1438115,3563
Case Manager/Care Coordinator,2018-10,96559824.98999998,1248718,886470,577
Nursing Home,2018-09,96537236.69,1159044,439827,1526
Hospice,2023-01,96458841.88999999,608824,84002,762
Case Manager/Care Coordinator,2019-02,96441745.89,1187565,763906,561
Specialist,2024-05,96436672.37,1898847,1386079,3489
Rehab Substance Use Disorder,2022-12,96405134.00999998,1237390,305378,771
Clinic/Center,2019-08,96390241.33000001,1892305,1361021,1940
Adult Day Care,2018-02,96382150.69000001,1409614,161464,996
Supports Brokerage,2020-12,96130458.10999998,1161989,124667,82
Specialist,2024-04,96123793.73999996,1935174,1435090,3550
Clinic/Center,2020-03,96037086.70000002,1666157,1111233,1911
Specialist,2023-02,96015246.50999999,2012267,1521032,3870
Voluntary/Non-Profit,2021-07,95978875.33999997,1129283,141133,243
Intellectual Disabilities ICF,2023-05,95939354.94000001,341901,35685,237
Nursing Home,2018-06,95883932.43000002,1148713,358806,1287
Urgent Care,2021-04,95874675.37000002,1940464,1706389,1341
Dental Clinic,2022-10,95752326.91000003,2261051,1729025,2758
Rural Health,2024-03,95707105.88999999,1941111,1554672,2605
Clinic/Center,2019-02,95704854.11,1731280,1245222,1889
Hospice,2021-09,95703188.28000002,543890,80595,759
Specialist,2023-11,95700848.44000003,1988481,1504593,3606
Rural Health,2022-08,95659237.27,2086731,1661746,2541
Rural Health,2022-03,95645263.42,1997143,1574526,2510
Nursing Home,2018-11,95623069.99,1164796,455534,1549
Hospice,2021-05,95574645.69000001,528592,79238,730
Hospice,2023-04,95476067.05000001,591368,82220,785
Mental Health Counselor,2019-01,95446403.56,1174438,496233,2459
Ambulance,2022-02,95394007.55,1233139,952203,1769
Dentist,2020-07,95191336.85000002,3081649,2482462,6650
Specialist,2023-04,95184436.54999998,2025408,1530995,3877
Rural Health,2022-10,95159202.09,2070891,1641445,2552
Hospice,2021-11,95157250.71,546230,82194,752
Substance Abuse Rehab,2021-07,95079670.08,554639,121873,622
Case Manager/Care Coordinator,2019-09,94898948.27999999,1489453,919063,567
Ambulatory Surgical,2022-06,94897206.95999998,1225854,1059169,1376
Clinic/Center,2019-07,94853546.7,1750394,1238469,1905
Specialist,2021-09,94824535.16,2184366,1661533,4154
Substance Abuse Rehab,2021-08,94821487.07,550221,121745,628
Specialist,2021-04,94811312.88,2050721,1570037,4351
Dentist,2020-11,94799267.07999997,2809052,2245429,6677
Mental Health Counselor,2020-04,94649446.63999999,1100199,436297,2504
Specialist,2021-11,94625455.41000001,2107307,1614500,4068
Assisted Living Facility,2022-11,94616709.75000001,399690,50918,1463
Hospice,2021-06,94575446.51,542575,83034,755
Nursing Home,2019-02,94501895.32000001,1103834,406104,1477
Rural Health,2024-10,94460202.44000001,1876099,1531537,2540
Intellectual Disabilities ICF,2023-01,94386725.22,314109,35989,244
Specialist,2024-03,94374739.71999998,1894069,1402736,3499
Intellectual Disabilities ICF,2023-04,94300952.66,318311,35573,243
Addiction Counselor,2022-01,94248018.02,1520803,484948,1356
Hospice,2020-01,94228065.03999999,576750,83381,670
Dentist,2019-06,94191636.39999998,2899951,2334885,6752
Specialist,2022-12,94097736.46999998,1997583,1499924,3731
Case Manager/Care Coordinator,2018-08,93974243.81,1121540,775866,564
Urgent Care,2024-05,93843185.07000001,1853447,1629131,1506
Hospice,2021-03,93786889.88000001,547367,79862,727
Ambulatory Surgical,2022-04,93776275.98,1214248,1054691,1324
Internal Medicine,2019-08,93725895.04999998,3316289,2606027,10100
Dentist,2018-02,93714934.87,3265749,2543615,7189
Specialist,2023-09,93709142.41,2010260,1524458,3647
Clinic/Center,2018-01,93702653.05000001,1645062,1179229,1829
Rural Health,2022-11,93644263.57999998,2111175,1680767,2561
Mental Health Counselor,2018-10,93622625.09000002,1157722,501135,2343
Mental Health Counselor,2019-09,93609966.36999999,1132482,498880,2558
Nursing Home,2018-02,93604754.17999999,1126567,406213,1471
Rural Health,2023-09,93600507.27,2029581,1620106,2600
Ambulatory Surgical,2023-07,93582110.79,1100731,944041,1318
Rehab Substance Use Disorder,2022-05,93488077.46999997,1289744,322111,736
Mental Health Counselor,2020-05,93423196.45000002,1056617,433302,2490
Specialist,2022-04,93316608.68999998,2049923,1547244,4008
Hospice,2020-12,93274168.13,539536,75579,751
Mental Health Counselor,2019-11,93269032.63999999,1122516,496693,2650
Rural Health,2023-02,93247438.46000001,1958350,1545504,2539
Clinical Lab,2024-12,93216658.36999999,6364062,5851390,1347
Dental Clinic,2023-07,93164703.76,2194260,1678836,2809
Supports Brokerage,2021-02,93081060.1,1054330,123269,86
Hospice,2022-01,93035921.8,527128,81213,739
Dentist,2018-06,92995995.75,3138743,2446281,7007
Specialist,2021-12,92948658.19999999,2063947,1571804,3977
Internal Medicine,2019-02,92905227.17999999,3208029,2543094,9938
Hospice,2020-10,92884525.69999999,515753,76848,766
Urgent Care,2021-07,92845347.96000002,1854785,1620826,1381
Urgent Care,2021-03,92807425.52,1857764,1619481,1314
Mental Health Counselor,2019-08,92784746.95,1130520,490376,2557
Rural Health,2024-05,92724284.23,1813603,1450010,2583
Intellectual Disabilities ICF,2023-06,92666114.36000001,322425,35034,233
Rural Health,2022-09,92597423.44000003,2032580,1584605,2533
Addiction Counselor,2022-07,92556901.44000001,1409381,438600,1360
Specialist,2023-07,92524128.26,1902188,1428237,3657
Specialist,2021-07,92505259.02000001,2047282,1545552,4183
Mental Health Counselor,2019-07,92427097.60000001,1116654,469027,2498
Intellectual Disabilities ICF,2022-12,92383395.25,311154,34181,247
Addiction Counselor,2021-03,92332651.22000001,1576395,482050,1298
Voluntary/Non-Profit,2021-09,92308826.29999998,1027841,144678,235
Hospice,2019-10,92306746.96000002,570131,78401,665
Rehab Substance Use Disorder,2022-07,92285347.3,1251081,302140,732
Rural Health,2021-08,92209312.43,1966997,1555274,2378
Ambulatory Surgical,2021-08,92044269.42000002,1316773,1152469,1343
Supports Brokerage,2020-10,91830176.78,997466,121961,81
Substance Abuse Rehab,2021-06,91825873.15,548300,125414,622
Rehab Substance Use Disorder,2022-06,91801733.10999998,1275326,320428,734
Hospice,2020-11,91766775.57,520987,75254,766
Internal Medicine,2019-07,91718098.62999998,3228826,2530723,10132
Urgent Care,2024-10,91644421.30999999,1828060,1606635,1467
Substance Abuse Rehab,2021-09,91542619.66,521257,117539,624
Optometrist,2023-08,91515084.86999999,2897742,2631994,10544
Rural Health,2021-09,91412728.10000004,1930362,1516509,2406
Addiction Counselor,2021-11,91367731.71999998,1501968,479369,1320
Nursing Home,2018-12,91347275.28999996,995251,343439,1394
Hospice,2021-04,91324137.55000001,534672,80840,734
Local Education Agency (LEA),2024-09,91259541.68,3966228,1060274,3678
Addiction Counselor,2021-12,91244362.62,1523123,475502,1317
Clinical Social Worker,2023-03,91231207.21000001,1443939,826188,3694
Hospice,2020-03,91213341.75,546091,73554,650
Mental Health Counselor,2018-05,91124316.22999999,1141920,472254,2370
Clinic/Center,2018-05,91083554.26999998,1519835,1093826,1798
Case Manager/Care Coordinator,2018-01,91033530.45999998,1112483,753422,529
End-Stage Renal Disease,2024-11,90971216.92000002,675007,284155,918
