specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Home Health Agency,2020-08,1432279985.3500001,12550258,951955,5798
Home Health Agency,2020-09,1431610651.4800005,12809228,964836,5858
Home Health Agency,2020-03,1423029796.56,12531085,945920,5662
Other,2020-07,1420402855.2,32161335,21637314,48293
Other,2020-08,1419571797.8800006,32278305,21776539,48442
Home Health Agency,2019-10,1418774616.9600003,12631330,970041,5691
Other,2019-08,1417597995.33,33491943,23188525,51106
Home Health Agency,2019-12,1414265710.8799999,12461331,945289,5632
Home Health Agency,2019-11,1402473691.5200002,12302170,948618,5652
Home Health Agency,2020-05,1396951818.74,12220457,877665,5608
Other,2019-05,1380484803.270001,32574441,22428421,50458
Other,2019-04,1377993271.6799998,33033530,22923084,51156
Other,2019-07,1373801200.1500008,32418450,22296702,50468
Other,2019-01,1362897441.1899993,32782014,22722555,50416
Home Health Agency,2020-06,1362403504.8900003,11866474,904635,5678
Other,2019-11,1357794957.5600004,31103912,21498849,49321
Other,2019-03,1355148101.7599998,32962573,22846342,50425
Other,2019-12,1354891382.91,30746737,21075686,48678
Home Health Agency,2020-02,1354060347.01,11819497,945370,5649
Other,2019-09,1346447534.0,31844762,22089677,50139
Other,2020-06,1333104947.7499998,29612295,20051845,46472
Home Health Agency,2020-04,1318040300.0300002,11655666,856911,5491
Other,2018-10,1278000422.8700006,31576470,22195761,51116
Other,2019-06,1263678208.6000004,29620545,20525894,48830
Other,2018-08,1259332144.8399992,31299270,22026296,51562
Other,2019-02,1229569705.7200003,30152725,20938960,48690
Home Health Agency,2019-09,1221124976.5,11206829,924108,5590
Other,2020-03,1200313481.7999997,26048477,17228608,44916
Other,2018-05,1197115441.7700002,29988639,21196552,51627
Other,2018-01,1191540409.7599998,30414279,21534385,52475
Other,2018-03,1177860947.2399998,30149178,21447262,52341
Home Health Agency,2019-08,1171712438.5499997,10957137,894574,5590
General Acute Care Hospital,2023-03,1169757032.67,25361834,20340169,2450
Other,2018-07,1155939611.2699997,28949901,20068610,49623
Other,2018-04,1153814809.1899993,29254164,20858919,51714
Home Health Agency,2019-05,1150383584.5800002,10950603,866750,5518
Other,2018-11,1143271258.57,27513600,19225335,47831
Home Health Agency,2019-03,1130499542.2999997,10678737,856851,5511
