method_name,flagged_npis,holdout_rate,baseline_holdout_rate,holdout_z_delta,reasons
ramp_up,66,0.8787878787878788,0.6544194926988209,-0.5297903517550427,negative_z_delta
seasonality_anomaly_low_cv,58,0.3103448275862069,0.6544194926988209,-0.8883062302492741,low_holdout_rate;negative_z_delta
servicing_fan_in,547,0.22486288848263253,0.6544194926988209,0.11178717527330573,low_holdout_rate
ghost_provider_indicators,556521,0.1423522203115426,0.6544194926988209,0.003515852075325593,low_holdout_rate
