billing_npi,state,specialty,total_paid,avg_paid_per_claim,avg_claims_per_bene,top_code_pct,cv_monthly,yoy_growth,z_ppc,z_cpb,z_top,z_cv,z_growth,risk_index
1366158826,CA,Dental Clinic,297592.00000000006,59.733440385387404,1.4141356798183367,0.1743460845721659,0.8668083746704935,226.77613776137764,0.4596347234773351,-0.07805516475088128,-0.8857889414508258,0.8230156198975095,25.84168424536859,27.124334588743434
1881816643,NY,Clinical Social Worker,34608593.04,1870.8358851829828,1.0009198138729574,1.0,0.4164192308855814,-0.2169747290584294,26.337363798059872,-1.2597956357090063,0.5108515804392502,0.20719153254322384,-0.08538736377095911,27.055406911042347
1992314827,IA,Other,4654887.01,5990.845572715572,1.4971098265895955,1.0,0.20384688211621602,-0.16556434569431322,25.331305491662764,0.12611004442833512,1.5438600382265466,-0.9931326840336154,-0.05108428548473833,27.001275574317646
1073566022,TX,Optometrist,1220461.2600000002,392.6838030888032,1.4283088235294117,0.969650089507962,0.8000138086393012,-0.8681286930189872,21.360925032375413,3.1782710745869176,1.6120125862611725,0.7070740389712854,-0.2819558569669762,26.858282732194787
1609286558,TX,Professional Counselor,374288.2,707.5391304347826,8.396825396825397,1.0,0.6109870162763286,-1.0,20.018898184762214,4.918296076110875,0.5554951493763606,1.3599834795015553,-0.5643528893715406,26.852672889751002
1669479150,MO,Other,157230.54000000004,11.787280905615116,66.695,1.0,0.1433913864180956,0.0,-0.38410855931954496,25.5706617574497,1.212034190851752,-0.9527234212834391,-0.02090987747626681,26.782695948301452
1639806359,NC,Family Medicine,556963.63,201.72532777978992,12.325892857142858,0.42123116728465737,0.4925834880321997,20.22336015207038,8.403525221232142,16.30766139195133,-1.1096391386650002,-0.34683326950023274,1.9548387893327157,26.666025402516187
1225656739,PA,Other,6496743.41,4246.237522875817,1.4393226716839134,0.6730265987217124,0.3486382952103792,-0.29196027758638454,26.57840748170954,0.051974761152976265,0.021318805344189222,-0.5223483902173286,-0.0656012610880875,26.651701048206707
1104596543,TX,Pediatrics,1289425.25,232.49643887486477,11.578288100208768,0.9197873626253248,0.39310823106198345,24.384202241365095,7.962167357703007,11.380680284321507,1.728630988476346,-0.5185297074215479,5.5574082552780135,26.628886885778872
1720798226,MD,Community/Behavioral Health,1252551.4699999997,838.9494105827192,1.0382475660639778,0.512665511461976,1.2653300515179424,130.76767300957374,0.6646178644144197,-0.42258251313679224,-1.718589867420186,2.954190966910127,22.923668491497,26.542477322821547
1316138746,TX,Family Medicine,45239.880000000005,32.711409978308026,19.208333333333332,0.9193258249137707,0.35966085920661167,1.5094920997430705,0.04967665344068346,25.142534663318912,0.8460499403146486,-0.7779167897272636,0.45163457098230136,26.489895828056547
1255954855,FL,Pediatrics,1608355.4899999998,219.42093997271485,21.123919308357348,1.0,0.13137531750735115,0.11150153081921066,4.803420998416494,19.302636182224344,2.01618675948571,-1.0932679431778003,0.32513793939434726,26.447381879520897
1013343391,MN,Other,7284.709999999998,16.15235033259423,1.018058690744921,0.39865416742739246,1.330112832942391,93.19172633253777,-0.13933912862018713,-0.25295422346745233,-0.7328189412682748,1.4160367525294653,24.91908866805816,26.335125420587623
1477212660,MN,Chiropractor,3183.9900000000002,6.018884688090738,2.003787878787879,1.0,1.1187085796585252,117.16130239520959,-1.58235643408541,-0.0518127558547493,0.5182550189666078,1.581302238800201,24.086929505371362,26.18648676313817
1174252019,MO,Optometrist,19326.92,45.262107728337234,1.0118483412322274,0.80359519261217,0.7390567442448392,210.5004947773502,1.8154371416599904,-0.7245825787133976,1.1228603946920446,0.05414599938419348,23.143539992163912,26.13598352790014
1588782148,PA,Physical Therapist,5418252.03,364.3012189874269,22.95216049382716,0.6316902944066262,0.16838342268245812,4.290522267854185,10.114663033773887,14.864897179417175,-0.4152132557713985,-0.9998857929901491,1.1459058668906974,26.12546608008176
1801967815,PR,Clinical Lab,50697.850000000006,324.986217948718,1.0909090909090908,0.9457570685936386,0.7564247665954474,0.0,21.35800655195006,-0.20585870933673914,4.748988839005872,-0.028920929256497516,-0.048367732064862515,26.10699539095593
1710113170,OH,Dentist,479279.75,27.055023990968106,1.3066086443428235,0.19946697101223237,1.2468359689227224,165.34914531541477,-0.144370401998967,0.3062375376775385,-0.827905784978944,1.30720074504674,24.45511413016259,26.068552412886866
1306299938,FL,Specialist,607454.55,13.642693033283924,1.2235779060181369,0.5139269431762425,5.540414690229045,59.57855746832448,-0.4806133472046161,-0.4441650991061282,-0.7580690091169262,6.0908419790966715,19.87117021932888,25.962012198425555
1477509529,CA,Emergency Medicine,269192.63,1359.5587373737374,1.2073170731707317,0.4947916293250674,0.5345720882430796,0.0,25.123192451283437,0.48040268371870437,-0.7164615430211017,0.2913767736867624,-0.01724535305798826,25.894971908688905
1437290905,IL,Family Medicine,54934.62,37.88594482758621,11.417322834645669,0.9904042296096706,0.6483440431031229,-1.0,-0.3448287213258356,24.23881074922558,1.187738069583126,0.46820247518547226,-0.3526523521162406,25.894751293994176
1336912294,CA,Cardiovascular Disease,59112.34000000001,48.89358147229116,1.028061224489796,0.38194224759161965,1.54908015373311,48.17855081321519,0.5695145165250186,-0.2914815622631153,-1.0106175892339941,1.940236056529563,23.362453789449965,25.872204362504547
1932297553,FL,Skilled Nursing Facility,37559.21,1073.1202857142857,1.4583333333333333,1.0,0.42017673234792385,0.0,22.815208751547274,-1.9451914353858581,2.1673308670899294,-1.8582890406676749,0.8827342213970275,25.86527384003423
1679349823,IA,Chiropractor,15929.310000000001,17.35218954248366,1.9573560767590619,1.0,0.35808919764883557,42.05595043836602,-1.1381764421856568,-0.1164124548289623,0.5230472761753374,0.09364492985499832,25.154685929412747,25.771378135443083
1760483903,MI,Family Medicine,177949.15,51.895348498104404,17.231155778894472,0.9998564196569638,0.31160820053994265,0.0,0.20769186759334196,23.963483027608643,1.3752404979211297,-0.4446289350398073,0.16400462016097947,25.710420013284097
1750740155,PA,Other,318014.1,44.15635934462649,1.0898910411622276,0.33011114915973855,0.8024336419356611,2017.3704930095666,-0.1349506564501901,-0.20057887744760253,-1.197907472723462,0.532470728404627,25.176818241369826,25.70928896977445
1740227560,NJ,Internal Medicine,95989.37,39.16334965320277,1.154498351389543,0.5796729367012201,1.612519984012987,58.08994951229128,0.49752123608523396,-0.3670142225012243,-0.5919812870533891,2.259086615795322,22.943052198410495,25.69966005029105
