billing_npi,state,specialty,paid_2023,paid_2024,growth,peers,z_growth
1225725286,MA,Other,3487.74,336394.99,95.45070733483574,1706,18.491223696687253
1538790266,IL,Emergency Medicine,858.99,32468.620000000003,36.798600682196536,1362,18.437571260228555
1558809673,NY,Home Health Agency,97962.28,5064029.159999999,50.69366372444577,628,18.432992568405567
1720798226,MD,Community/Behavioral Health,9434.16,1243117.3100000003,130.76767300957374,499,18.389248632546323
1760823637,PA,Other,455.0,982058.0700000001,2157.3693846153847,2694,18.30916671561392
1619321668,AR,Other,22.18,1271.36,56.32010820559062,620,18.272551038673598
1669438321,VA,Other,36.0,2651.0,72.63888888888889,824,18.263954388702437
1013343391,MN,Other,75.42,7103.94,93.19172633253778,778,18.17432315104314
1841377157,NV,Other,4.29,1917.4199999999998,445.9510489510489,556,18.036364697513683
1487733689,CA,Local Education Agency (LEA),1283.39,33984.21000000001,25.480033349176793,458,17.95480899619041
1679349823,IA,Chiropractor,361.57,15567.74,42.05595043836602,384,17.881457581324742
1366009532,WI,Chiropractor,462.18,13451.829999999998,28.105175472759527,557,17.838922666541563
1689375230,CA,Case Manager/Care Coordinator,2317.13,15152045.140000002,6538.1433109061645,320,17.8070551793056
1235337361,MI,Chiropractor,275.76,5779.9,19.959892660284304,500,17.79904790681757
1295786283,NY,Optometrist,377.1,40630.4,106.74436488994961,849,17.745368671513056
1073272613,CA,Specialist,20477.71,3339785.06,162.09367893187277,592,17.69589348789479
1396068045,LA,Other,247.64000000000001,20304.79,80.99317557745114,938,17.651365797827154
1104267848,CA,General Acute Care Hospital,647.28,2791666.4999999995,4311.9194475342965,313,17.63274679068964
1588258727,TX,Dentist,191.1,29130.609999999993,151.43647305075874,902,17.335651080091317
1790343291,PA,Pediatrics,487.31,15576.43,30.964109088670458,705,17.313450558017646
1831273499,NY,Obstetrics & Gynecology,22.45,7911.2300000000005,351.3933184855234,301,17.247665045007096
1497211379,CO,DME Supplier,3564.34,1266120.7599999998,354.21885117581365,300,17.168687841683784
1740349448,PA,Other,371.2,750298.87,2020.2792834051725,2694,17.13979840891025
1174123160,CA,Marriage & Family Therapist,98.02,13153.84,133.1954703121812,665,17.136157179325455
1750740155,PA,Other,135.89999999999998,274296.55,2017.3704930095662,2694,17.114986644461624
1538767082,CA,Clinic/Center,30.44,12009.099999999999,393.5170827858081,329,17.10064847894018
1124717988,OK,Other,237.77,55849.060000000005,233.88690751566642,700,17.067833905900574
1598259269,NY,Clinical Social Worker,136.14,12233.979999999998,88.8632290289408,361,17.05980166134075
1063446631,NY,Cardiovascular Disease,769.61,79296.34,102.03444601811306,1028,17.058002027703417
1316329634,WI,Other,510.0,366414.69,717.4601764705883,776,16.982031082629263
1205357688,FL,Internal Medicine,231.61,51347.310000000005,220.69729286300247,457,16.887864481882684
1891489118,NC,Internal Medicine,217.1,54824.44,251.53081529249195,359,16.880426907215792
1740701473,IL,Other,512.9,52380.46,101.12606745954378,4835,16.822307432501294
1962686451,VA,Other,88.81,6021.12,66.79777052133768,824,16.78666392122407
1023886512,CA,Ophthalmology,43.33,3486.91,79.47334410339256,381,16.716706440904353
1336912294,CA,Cardiovascular Disease,1178.04,57934.30000000001,48.17855081321518,345,16.534405194103595
1265608004,OH,Family Medicine,28.28,15241.86,537.9625176803395,276,16.43278257360779
1346657103,NY,Family NP,601.44,104901.85999999999,173.41783054003722,474,16.427264289599457
1194070326,KS,Other,288.53999999999996,26977.52,92.49663824772996,287,16.396504213620137
1740227560,NJ,Internal Medicine,1572.66,92928.4,58.08994951229127,501,16.23656516275432
1912099839,OH,Federally Qualified Health Ctr,1663.71,153055.44,90.99646573020539,288,16.15189756364503
1558552414,OH,Home Health Agency,2082.06,603648.45,288.92846027492004,580,16.062020251230567
1487104261,NY,Physical Therapist,2668.1600000000003,392031.83,145.92965564284,497,16.034092176251775
1821864653,TN,Family Medicine,78.17,22782.51,290.44825380580784,257,15.945440306741839
1982787289,IL,Nurse Practitioner,539.61,39039.21,71.34708400511481,872,15.93359324005127
1891294252,PA,Home Health Agency,42077.57,5029733.359999999,118.53478682347863,275,15.92508781722838
